Date,Team,Acquired,Relinquished,Notes
3/5/2018,Grizzlies,,Jarell Martin,right knee injury (DTD)
3/5/2018,Grizzlies,,Mario Chalmers,right hamstring injury (DTD)
3/5/2018,Grizzlies,Deyonta Davis,,activated from IL
3/5/2018,Grizzlies,Marc Gasol,,activated from IL
3/5/2018,Grizzlies,Wayne Selden Jr.,,returned to lineup
3/5/2018,Hawks,,Malcolm Delaney,sprained left ankle (out for season)
3/5/2018,Heat,,Jordan Mickey,placed on IL
3/5/2018,Heat,Derrick Jones Jr.,,activated from IL
3/5/2018,Heat,Tyler Johnson,,activated from IL
3/5/2018,Hornets,,Michael Carter-Williams,sprained left shoulder (out for season)
3/5/2018,Jazz,,Derrick Favors,neck spasms (DTD)
3/5/2018,Magic,,Rashad Vaughn,placed on IL with sore right knee
3/5/2018,Magic,Arron Afflalo,,activated from IL
3/5/2018,Rockets,,Joe Johnson,illness (DTD)
3/5/2018,Spurs,,Derrick White,placed on IL
3/5/2018,Spurs,,Matt Costello,placed on IL
3/5/2018,Spurs,Brandon Paul,,activated from IL
3/5/2018,Spurs,LaMarcus Aldridge,,activated from IL
3/5/2018,Suns,,Troy Daniels,placed on IL with hyperextended right knee
3/5/2018,Suns,Alec Peters,,activated from IL
3/5/2018,Suns,Davon Reed,,activated from IL
3/6/2018,76ers,Justin Anderson,,activated from IL
3/6/2018,Hawks,,Malcolm Delaney,placed on IL with sprained left ankle (out for season)
3/6/2018,Hornets,,Michael Carter-Williams,placed on IL with sprained left shoulder (out for season)
3/6/2018,Hornets,Dwayne Bacon,,activated from IL
3/6/2018,Pelicans,Emeka Okafor,,returned to lineup
3/6/2018,Raptors,,Nigel Hayes,placed on IL
3/6/2018,Raptors,Alfonzo McKinnie,,activated from IL
3/6/2018,Rockets,,Brandan Wright,placed on IL with sore right knee
3/6/2018,Rockets,,Joe Johnson,placed on IL with illness
3/6/2018,Thunder,,Kyle Singler,placed on IL
3/6/2018,Thunder,Carmelo Anthony,,activated from IL
3/6/2018,Warriors,,David West,placed on IL with cyst in right arm
3/6/2018,Warriors,Shaun Livingston,,activated from IL
3/6/2018,Wizards,Kelly Oubre Jr.,,returned to lineup
3/7/2018,Bucks,,Tyler Zeller,placed on IL with sore back
3/7/2018,Bulls,Justin Holiday,,activated from IL
3/7/2018,Cavaliers,Jeff Green,,activated from IL
3/7/2018,Grizzlies,,Chandler Parsons,placed on IL with illness
3/7/2018,Grizzlies,,Mario Chalmers,right hamstring injury (DTD)
3/7/2018,Jazz,Derrick Favors,,returned to lineup
3/7/2018,Jazz,Tony Bradley,,activated from IL
3/7/2018,Kings,JaKarr Sampson,,activated from IL
3/7/2018,Lakers,Alex Caruso,,activated from IL
3/7/2018,Pistons,,Stanley Johnson,placed on IL with back spasms
3/7/2018,Pistons,Reggie Hearn,,activated from IL
3/7/2018,Spurs,,Pau Gasol,sprained right shoulder (DTD)
3/7/2018,Warriors,,Jordan Bell,sprained right ankle (DTD)
3/7/2018,Magic,Rashad Vaughn,,activated from IL
3/8/2018,Celtics,Kyrie Irving,,activated from IL
3/8/2018,Heat,,Derrick Jones Jr.,placed on IL
3/8/2018,Heat,Wayne Ellington,,activated from IL
3/8/2018,Heat,Wayne Ellington,,returned to lineup
3/8/2018,Magic,,Evan Fournier,sprained MCL in left knee (out for season)
3/8/2018,Spurs,,Pau Gasol,sprained ACL in right knee (DTD)
3/8/2018,Suns,,Davon Reed,placed on IL
3/8/2018,Suns,,T.J. Warren,placed on IL with back spasms
3/8/2018,Suns,Troy Daniels,,activated from IL
3/8/2018,Warriors,,Andre Iguodala,placed on IL with sprained left wrist
3/8/2018,Warriors,,Jordan Bell,placed on IL with sprained right ankle
3/9/2018,Blazers,,Wade Baldwin IV,placed on IL
3/9/2018,Blazers,Moe Harkless,,activated from IL
3/9/2018,Bucks,Tyler Zeller,,activated from IL
3/9/2018,Bulls,,Jarell Eddie,placed on IL
3/9/2018,Bulls,,Omer Asik,placed on IL
3/9/2018,Bulls,Antonio Blakeney,,activated from IL
3/9/2018,Bulls,Robin Lopez,,activated from IL
3/9/2018,Celtics,,Jaylen Brown,concussion (out indefinitely)
3/9/2018,Clippers,,Danilo Gallinari,placed on IL with fractured right hand
3/9/2018,Clippers,Jawun Evans,,activated from IL
3/9/2018,Grizzlies,,Mario Chalmers,placed on IL with right hamstring injury
3/9/2018,Grizzlies,,Myke Henry,placed on IL
3/9/2018,Grizzlies,Jarell Martin,,returned to lineup
3/9/2018,Hornets,,Michael Carter-Williams,surgery on left shoulder to repair posterior tear in labrum (out for season)
3/9/2018,Kings,,De'Aaron Fox,placed on IL with rehab of knee / back injury
3/9/2018,Kings,Jack Cooley,,activated from IL
3/9/2018,Magic,,Aaron Gordon,concussion (DTD)
3/9/2018,Magic,,Evan Fournier,placed on IL with sprained MCL in left knee (out for season)
3/9/2018,Nuggets,,Mason Plumlee,placed on IL
3/9/2018,Nuggets,,Wilson Chandler,placed on IL with sore right hip
3/9/2018,Nuggets,Juan Hernangomez,,activated from IL
3/9/2018,Pacers,,Alex Poythress,placed on IL
3/9/2018,Pacers,Darren Collison,,activated from IL
3/9/2018,Pelicans,,Anthony Davis,sprained left ankle (DTD)
3/9/2018,Pistons,,Dwight Buycks,sprained left ankle (DTD)
3/9/2018,Raptors,,Delon Wright,placed on IL with sore right big toe
3/9/2018,Raptors,Nigel Hayes,,activated from IL
3/9/2018,Rockets,Joe Johnson,,activated from IL
3/9/2018,Thunder,,Terrance Ferguson,concussion (out indefinitely)
3/9/2018,Warriors,,Stephen Curry,placed on IL with sprained right ankle
3/9/2018,Warriors,Damian Jones,,activated from IL
3/10/2018,Cavaliers,,Cedi Osman,strained left hip (out indefinitely)
3/10/2018,Cavaliers,,Rodney Hood,strained lower back (DTD)
3/10/2018,Grizzlies,,Marc Gasol,placed on IL for rest
3/10/2018,Heat,,Hassan Whiteside,placed on IL with sore left hip
3/10/2018,Heat,Jordan Mickey,,activated from IL
3/10/2018,Hornets,,Cody Zeller,placed on IL with sore left knee (out for season)
3/10/2018,Mavericks,,Dennis Smith Jr.,placed on IL with sore left knee
3/10/2018,Mavericks,,Nerlens Noel,placed on IL for rest
3/10/2018,Mavericks,Dorian Finney-Smith,,activated from IL
3/10/2018,Mavericks,Wes Matthews Jr.,,activated from IL
3/10/2018,Spurs,Pau Gasol,,returned to lineup
3/10/2018,Suns,,Devin Booker,strained left tricep (DTD)
3/10/2018,Suns,,Josh Jackson,placed on IL with stiffness in left knee
3/10/2018,Thunder,,Terrance Ferguson,placed on IL with concussion
3/10/2018,Thunder,Daniel Hamilton,,activated from IL
3/10/2018,Bucks,Mirza Teletovic,,returned to lineup
3/11/2018,Cavaliers,,Cedi Osman,placed on IL with strained left hip
3/11/2018,Cavaliers,,Rodney Hood,placed on IL with strained lower back
3/11/2018,Celtics,,Al Horford,placed on IL with illness
3/11/2018,Celtics,,Jaylen Brown,placed on IL with concussion
3/11/2018,Celtics,Kadeem Allen,,activated from IL
3/11/2018,Hawks,,DeAndre Bembry,placed on IL with strained abdominal
3/11/2018,Hawks,,Dennis Schroder,sprained left elbow (DTD)
3/11/2018,Jazz,,Georges Niang,placed on IL
3/11/2018,Jazz,Erik McCree,,activated from IL
3/11/2018,Kings,,Jack Cooley,placed on IL
3/11/2018,Kings,,Skal Labissiere,placed on IL with bruised left hip
3/11/2018,Kings,De'Aaron Fox,,activated from IL
3/11/2018,Kings,Willie Cauley-Stein,,activated from IL
3/11/2018,Knicks,,Enes Kanter,back spasms (DTD)
3/11/2018,Knicks,,Lance Thomas,placed on IL with sprained right thumb
3/11/2018,Mavericks,,Dorian Finney-Smith,placed on IL for rest
3/11/2018,Mavericks,,Salah Mejri,placed on IL with strained right hamstring
3/11/2018,Mavericks,,Wes Matthews Jr.,fractured right fibula (out for season)
3/11/2018,Mavericks,Dennis Smith Jr.,,activated from IL
3/11/2018,Mavericks,Johnathan Motley,,activated from IL
3/11/2018,Mavericks,Nerlens Noel,,activated from IL
3/11/2018,Nuggets,,Juan Hernangomez,placed on IL
3/11/2018,Nuggets,Wilson Chandler,,activated from IL
3/11/2018,Pelicans,Anthony Davis,,returned to lineup
3/11/2018,Raptors,,Alfonzo McKinnie,placed on IL
3/11/2018,Raptors,Delon Wright,,activated from IL
3/11/2018,Rockets,,James Harden,sore left knee (DTD)
3/11/2018,Spurs,,LaMarcus Aldridge,sore right knee (DTD)
3/12/2018,Celtics,,Daniel Theis,torn meniscus in left knee (out for season)
3/12/2018,Celtics,,Marcus Smart,sprained right thumb (out indefinitely)
3/12/2018,Grizzlies,Marc Gasol,,activated from IL
3/12/2018,Hawks,,Jaylen Morris,sprained left ankle (out for season)
3/12/2018,Hawks,,Kent Bazemore,bone bruise in right knee (out for season)
3/12/2018,Heat,,Dwyane Wade,placed on IL with strained left/right hamstring
3/12/2018,Jazz,,Raul Neto,fractured left wrist (out indefinitely)
3/12/2018,Rockets,James Harden,,returned to lineup
3/12/2018,Spurs,,Manu Ginobili,placed on IL for rest
3/12/2018,Spurs,,LaMarcus Aldridge,placed on IL with sore right knee
3/12/2018,Spurs,Derrick White,,activated from IL
3/12/2018,Spurs,Matt Costello,,activated from IL
3/12/2018,Thunder,Terrance Ferguson,,activated from IL
3/13/2018,76ers,,Jerryd Bayless,placed on IL
3/13/2018,Bulls,,Lauri Markkanen,placed on IL with lower back spasms
3/13/2018,Bulls,Omer Asik,,activated from IL
3/13/2018,Clippers,,Avery Bradley,surgery to repair athletic pubalgia / sports hernia (out for season)
3/13/2018,Hawks,,Jaylen Morris,placed on IL with sprained left ankle (out for season)
3/13/2018,Hawks,,Kent Bazemore,placed on IL with bone bruise in right knee (out for season)
3/13/2018,Hawks,Dennis Schroder,,returned to lineup
3/13/2018,Hawks,Tyler Cavanaugh,,activated from IL
3/13/2018,Jazz,,Raul Neto,placed on IL with fractured left wrist
3/13/2018,Jazz,,Tony Bradley,placed on IL with concussion
3/13/2018,Jazz,Georges Niang,,activated from IL
3/13/2018,Knicks,,Isaiah Hicks,placed on IL
3/13/2018,Knicks,Enes Kanter,,returned to lineup
3/13/2018,Knicks,Lance Thomas,,activated from IL
3/13/2018,Mavericks,,Wes Matthews Jr.,placed on IL with fractured right fibula (out for season)
3/13/2018,Mavericks,Dorian Finney-Smith,,activated from IL
3/13/2018,Nets,,Jarrett Allen,sore left foot (DTD)
3/13/2018,Pistons,,Reggie Bullock,back injury (DTD)
3/13/2018,Pistons,,Reggie Hearn,placed on IL
3/13/2018,Pistons,Stanley Johnson,,activated from IL
3/13/2018,Spurs,,Derrick White,placed on IL
3/13/2018,Spurs,,Matt Costello,placed on IL
3/13/2018,Spurs,Manu Ginobili,,activated from IL
3/13/2018,Spurs,LaMarcus Aldridge,,activated from IL
3/13/2018,Suns,,Alec Peters,placed on IL
3/13/2018,Suns,Devin Booker,,returned to lineup
3/13/2018,Suns,Josh Jackson,,activated from IL
3/13/2018,Suns,T.J. Warren,,activated from IL
3/13/2018,Thunder,,Steven Adams,placed on IL with bruised left hip
3/13/2018,Thunder,Daniel Hamilton,,activated from IL
3/13/2018,Warriors,,Draymond Green,sore right shoulder (DTD)
3/14/2018,Celtics,,Daniel Theis,placed on IL with torn meniscus in left knee (out for season)
3/14/2018,Celtics,,Kyrie Irving,sore left knee (DTD)
3/14/2018,Celtics,,Marcus Smart,placed on IL with sprained right thumb
3/14/2018,Celtics,Guerschon Yabusele,,activated from IL
3/14/2018,Heat,,Josh Richardson,sore left foot (DTD)
3/14/2018,Lakers,,Kyle Kuzma,sprained right ankle (DTD)
3/14/2018,Pacers,,Domas Sabonis,sprained left ankle (DTD)
3/14/2018,Warriors,,Draymond Green,placed on IL with sore right shoulder
3/14/2018,Warriors,,Klay Thompson,placed on IL with fractured right thumb
3/14/2018,Warriors,Andre Iguodala,,activated from IL
3/14/2018,Warriors,Chris Boucher,,activated from IL
3/14/2018,Warriors,Jordan Bell,,activated from IL
3/14/2018,Jazz,Dante Exum,,activated from IL
3/14/2018,Rockets,,Qi Zhou,rib injury (DTD)
3/15/2018,Bulls,,Omer Asik,placed on IL
3/15/2018,Bulls,Paul Zipser,,activated from IL
3/15/2018,Cavaliers,,Larry Nance Jr.,placed on IL with sore right hamstring
3/15/2018,Cavaliers,Rodney Hood,,activated from IL
3/15/2018,Grizzlies,Tyreke Evans,,activated from IL
3/15/2018,Knicks,Isaiah Hicks,,activated from IL
3/15/2018,Pacers,,Domas Sabonis,placed on IL with sprained left ankle
3/15/2018,Pacers,Alex Poythress,,activated from IL
3/15/2018,Pistons,Dwight Buycks,,returned to lineup
3/15/2018,Pistons,Reggie Bullock,,returned to lineup
3/15/2018,Raptors,,Norman Powell,placed on IL with sprained left ankle
3/15/2018,Raptors,O.G. Anunoby,,activated from IL
3/15/2018,Suns,,Tyson Chandler,placed on IL
3/15/2018,Suns,Alec Peters,,activated from IL
3/16/2018,76ers,,Timothe Luwawu-Cabarrot,patellar tendinitis in right knee (DTD)
3/16/2018,Bulls,,Kris Dunn,sprained right toe (out for season)
3/16/2018,Celtics,,Kyrie Irving,placed on IL with sore left knee
3/16/2018,Celtics,,Marcus Smart,surgery on right thumb (out indefinitely)
3/16/2018,Celtics,Al Horford,,activated from IL
3/16/2018,Heat,Josh Richardson,,returned to lineup
3/16/2018,Kings,Skal Labissiere,,activated from IL
3/16/2018,Lakers,Kyle Kuzma,,returned to lineup
3/16/2018,Mavericks,,Johnathan Motley,placed on IL
3/16/2018,Mavericks,Jalen Jones,,activated from IL
3/16/2018,Nets,,Allen Crabbe,placed on IL with illness
3/16/2018,Nets,Isaiah Whitehead,,activated from IL
3/16/2018,Nets,Jarrett Allen,,returned to lineup
3/16/2018,Raptors,,Kyle Lowry,placed on IL for rest
3/16/2018,Thunder,,Daniel Hamilton,placed on IL
3/16/2018,Thunder,Steven Adams,,activated from IL
3/16/2018,Warriors,,Kevin Durant,placed on IL with fractured rib
3/16/2018,Warriors,David West,,activated from IL
3/16/2018,Warriors,Draymond Green,,activated from IL
3/17/2018,Bucks,,Tyler Zeller,placed on IL with sore ribs / back injury
3/17/2018,Bucks,,Xavier Munford,placed on IL
3/17/2018,Bucks,Marshall Plumlee,,activated from IL
3/17/2018,Bulls,,Kris Dunn,placed on IL with sprained right toe (out for season)
3/17/2018,Bulls,,Noah Vonleh,sprained right toe (DTD)
3/17/2018,Bulls,,Zach LaVine,placed on IL with patellar tendinitis in left knee (out for season)
3/17/2018,Bulls,Lauri Markkanen,,activated from IL
3/17/2018,Bulls,Omer Asik,,activated from IL
3/17/2018,Cavaliers,,Rodney Hood,strained lower back (DTD)
3/17/2018,Grizzlies,,Kobi Simmons,placed on IL
3/17/2018,Grizzlies,Mario Chalmers,,activated from IL
3/17/2018,Knicks,Isaiah Hicks,,activated from IL
3/17/2018,Mavericks,,Harrison Barnes,placed on IL for rest
3/17/2018,Mavericks,,Jose Barea ,placed on IL with strained left rib muscle
3/17/2018,Mavericks,Johnathan Motley,,activated from IL
3/17/2018,Nets,,Dante Cunningham,placed on IL with concussion
3/17/2018,Nets,Milton Doyle,,activated from IL
3/17/2018,Nuggets,,Devin Harris,placed on IL with right knee injury
3/17/2018,Nuggets,,Gary Harris,right knee injury (DTD)
3/17/2018,Nuggets,Torrey Craig,,activated from IL
3/17/2018,Pacers,,Myles Turner,placed on IL with sprained left ankle
3/17/2018,Pacers,Ike Anigbogu,,activated from IL
3/17/2018,Pelicans,,Rajon Rondo,rest (DTD)
3/17/2018,Rockets,Ryan Anderson,,returned to lineup
3/17/2018,Suns,,Devin Booker,sprained right hand (out for season)
3/17/2018,Suns,,Tyson Chandler,neck injury (out for season)
3/17/2018,Warriors,,Omri Casspi,placed on IL with sprained right ankle
3/18/2018,Celtics,Jabari Bird,,activated from IL
3/18/2018,Hornets,,Nicolas Batum,left Achilles tendinitis (DTD)
3/18/2018,Pelicans,Rajon Rondo,,returned to lineup
3/18/2018,Pelicans,Solomon Hill,,activated from IL
3/18/2018,Raptors,,Fred VanVleet,placed on IL with bruised right hand
3/18/2018,Raptors,,Nigel Hayes,placed on IL
3/18/2018,Raptors,Kyle Lowry,,activated from IL
3/18/2018,Raptors,Lorenzo Brown,,activated from IL
3/18/2018,Raptors,Norman Powell,,activated from IL
3/18/2018,Rockets,Qi Zhou,,returned to lineup
3/19/2018,76ers,,Timothe Luwawu-Cabarrot,placed on IL with patellar tendinitis in right knee
3/19/2018,76ers,Demetrius Jackson,,activated from IL
3/19/2018,Bulls,Noah Vonleh,,returned to lineup
3/19/2018,Cavaliers,,Rodney Hood,placed on IL with strained lower back
3/19/2018,Cavaliers,,Tyronn Lue,took leave of absence as head coach to address health issues
3/19/2018,Cavaliers,Kevin Love,,activated from IL
3/19/2018,Grizzlies,,Marc Gasol,illness (DTD)
3/19/2018,Grizzlies,,Tyreke Evans,placed on IL
3/19/2018,Grizzlies,Andrew Harrison,,activated from IL
3/19/2018,Hawks,,John Collins ,sprained left ankle (DTD)
3/19/2018,Jazz,,Derrick Favors,sore left knee (DTD)
3/19/2018,Kings,,Bogdan Bogdanovic,placed on IL with left hamstring injury
3/19/2018,Kings,,JaKarr Sampson,placed on IL
3/19/2018,Magic,Aaron Gordon,,returned to lineup
3/19/2018,Nets,,Isaiah Whitehead,placed on IL
3/19/2018,Nets,,Milton Doyle,placed on IL
3/19/2018,Nets,Allen Crabbe,,activated from IL
3/19/2018,Pacers,,Ike Anigbogu,placed on IL
3/19/2018,Pacers,Myles Turner,,activated from IL
3/19/2018,Warriors,Patrick McCaw,,activated from IL
3/20/2018,Jazz,,Derrick Favors,placed on IL with sore left knee
3/20/2018,Magic,,Jonathon Simmons,bruised right wrist (out for season)
3/20/2018,Mavericks,,Dennis Smith Jr.,placed on IL with sprained left ankle
3/20/2018,Mavericks,Harrison Barnes,,activated from IL
3/20/2018,Mavericks,Jose Barea ,,activated from IL
3/20/2018,Pelicans,,Jrue Holiday,illness (DTD)
3/20/2018,Pistons,,Jameer Nelson,placed on IL
3/20/2018,Pistons,Reggie Jackson ,,activated from IL
3/20/2018,Raptors,,DeMar DeRozan,bruised left thigh (DTD)
3/20/2018,Suns,,T.J. Warren,placed on IL with inflammation in left knee (out for season)
3/21/2018,76ers,James Young,,activated from IL
3/21/2018,Bucks,,D.J. Wilson,placed on IL
3/21/2018,Bucks,Tyler Zeller,,activated from IL
3/21/2018,Bulls,,Lauri Markkanen,placed on IL with back spasms
3/21/2018,Bulls,,Robin Lopez,placed on IL
3/21/2018,Bulls,Omer Asik,,activated from IL
3/21/2018,Bulls,Ryan Arcidiacono,,activated from IL
3/21/2018,Grizzlies,,Ivan Rabb,right heel injury (DTD)
3/21/2018,Grizzlies,Marc Gasol,,activated from IL
3/21/2018,Heat,Derrick Walton Jr.,,activated from IL
3/21/2018,Hornets,,Nicolas Batum,sore left Achilles (DTD)
3/21/2018,Kings,,Garrett Temple,sprained left ankle (out for season)
3/21/2018,Knicks,,Luke Kornet,placed on IL
3/21/2018,Pelicans,Jrue Holiday,,returned to lineup
3/21/2018,Raptors,,C.J. Miles,placed on IL with gastroenteritis
3/21/2018,Raptors,DeMar DeRozan,,returned to lineup
3/21/2018,Raptors,Fred VanVleet,,activated from IL
3/21/2018,Wizards,, Mike Scott,placed on IL with flu
3/21/2018,Wizards,,Chris McCullough,placed on IL
3/21/2018,Wizards,,Jodie Meeks,placed on IL with flu
3/21/2018,Nets,Dante Cunningham,,activated from IL
3/21/2018,Nets,,Dante Cunningham,DNP
3/22/2018,76ers,,James Young,placed on IL
3/22/2018,76ers,Furkan Korkmaz,,activated from IL
3/22/2018,Bulls,,Antonio Blakeney,fractured left wrist (out for season)
3/22/2018,Grizzlies,,Andrew Harrison,right wrist injury (DTD)
3/22/2018,Grizzlies,,Chandler Parsons,placed on IL for rest
3/22/2018,Grizzlies,,Marc Gasol,placed on IL for rest
3/22/2018,Grizzlies,Ivan Rabb,,returned to lineup
3/22/2018,Grizzlies,Kobi Simmons,,activated from IL
3/22/2018,Grizzlies,Tyreke Evans,,activated from IL
3/22/2018,Hawks,,Dennis Schroder,rest (DTD)
3/22/2018,Hornets,,Nicolas Batum,placed on IL with tendinitis in left Achilles
3/22/2018,Hornets,Mangok Mathiang,,activated from IL
3/22/2018,Hornets,Marcus Paige,,activated from IL
3/22/2018,Jazz,Derrick Favors,,activated from IL
3/22/2018,Kings,,Garrett Temple,placed on IL with sprained left ankle (out for season)
3/22/2018,Kings,,Zach Randolph,placed on IL with gastroentritis
3/22/2018,Kings,Bogdan Bogdanovic,,activated from IL
3/22/2018,Lakers,Channing Frye,,activated from IL
3/22/2018,Magic,,Jonathan Isaac,sprained left foot (DTD)
3/22/2018,Magic,,Jonathon Simmons,placed on IL with bruised right wrist (out for season)
3/22/2018,Magic,Jamel Artis,,activated from IL
3/22/2018,Mavericks,,Johnathan Motley,placed on IL
3/22/2018,Mavericks,Salah Mejri,,activated from IL
3/22/2018,Rockets,,Chris Paul,sore left hamstring (DTD)
3/22/2018,Warriors,,Draymond Green,bruised pelvis (DTD)
3/23/2018,Blazers,,Shabazz Napier,left big toe injury (DTD)
3/23/2018,Bucks,,Giannis Antetokounmpo,placed on IL with sprained right ankle
3/23/2018,Bucks,D.J. Wilson,,activated from IL
3/23/2018,Bulls,,Antonio Blakeney,placed on IL with fractured left wrist (out for season)
3/23/2018,Bulls,,Paul Zipser,placed on IL with sore left foot
3/23/2018,Bulls,Lauri Markkanen,,activated from IL
3/23/2018,Bulls,Robin Lopez,,activated from IL
3/23/2018,Cavaliers,,Okaro White,placed on IL
3/23/2018,Cavaliers,Larry Nance Jr.,,activated from IL
3/23/2018,Cavaliers,Rodney Hood,,activated from IL
3/23/2018,Cavaliers,Tristan Thompson,,activated from IL
3/23/2018,Celtics,,Kyrie Irving,surgery on left knee (out for season)
3/23/2018,Grizzlies,,Ivan Rabb,right heel injury (DTD)
3/23/2018,Hawks,Dennis Schroder,,returned to lineup
3/23/2018,Hawks,John Collins ,John Collins ,returned to lineup
3/23/2018,Heat,,Derrick Walton Jr.,placed on IL
3/23/2018,Heat,Dwyane Wade,,activated from IL
3/23/2018,Jazz,,Erik McCree,placed on IL
3/23/2018,Knicks,,Damyean Dotson,placed on IL
3/23/2018,Knicks,,Isaiah Hicks,placed on IL
3/23/2018,Knicks,Luke Kornet,,activated from IL
3/23/2018,Nets,Dante Cunningham,,returned to lineup
3/23/2018,Timberwolves,,Derrick Rose,sprained right ankle (DTD)
3/23/2018,Warriors,,Chris Boucher,placed on IL
3/23/2018,Warriors,,Damian Jones,placed on IL
3/23/2018,Warriors,,Draymond Green,placed on IL with bruised pelvis
3/23/2018,Warriors,Stephen Curry,,activated from IL
3/23/2018,Wizards, Mike Scott,,activated from IL
3/23/2018,Wizards,Jodie Meeks,,activated from IL
3/23/2018,Rockets,Brandan Wright,,activated from IL
3/24/2018,Bulls,,Lauri Markkanen,placed on IL with back spasms
3/24/2018,Bulls,Paul Zipser,,activated from IL
3/24/2018,Grizzlies,,Chandler Parsons,sore right knee (DTD)
3/24/2018,Grizzlies,Andrew Harrison,,returned to lineup
3/24/2018,Grizzlies,Marc Gasol,,activated from IL
3/24/2018,Lakers,,Isaiah Thomas,right hip injury (out for season)
3/24/2018,Lakers,,Luol Deng,sprained left ankle (DTD)
3/24/2018,Mavericks,,Jalen Jones,placed on IL
3/24/2018,Mavericks,Dennis Smith Jr.,,activated from IL
3/24/2018,Pelicans,,Nikola Mirotic,hip injury (DTD)
3/24/2018,Pelicans,,Nikola Mirotic,right hip flexor injury (DTD)
3/24/2018,Pelicans,,Rajon Rondo,sprained right wrist (DTD)
3/24/2018,Rockets,,Luc Mbah a Moute,sore left knee (DTD)
3/24/2018,Warriors,,Stephen Curry,sprained MCL in left knee (out indefinitely)
3/25/2018,Blazers,Shabazz Napier,,returned to lineup
3/25/2018,Bucks,,Marshall Plumlee,placed on IL
3/25/2018,Bucks,Giannis Antetokounmpo,,activated from IL
3/25/2018,Cavaliers,,Jeff Green,placed on IL with illness
3/25/2018,Celtics,,Marcus Morris,placed on IL with sprained right ankle
3/25/2018,Celtics,Jaylen Brown,,activated from IL
3/25/2018,Hawks,,Dennis Schroder,sprained left ankle (out for season)
3/25/2018,Knicks,,Damyean Dotson,sprained right foot (DTD)
3/25/2018,Knicks,,Kyle O'Quinn,strained left hip (DTD)
3/25/2018,Raptors,,Malcolm Miller,placed on IL
3/25/2018,Raptors,C.J. Miles,,activated from IL
3/25/2018,Rockets,,Ryan Anderson,placed on IL for rest
3/25/2018,Rockets,R.J. Hunter,,activated from IL
3/25/2018,Rockets,Qi Zhou,,activated from IL
3/25/2018,Warriors,,Draymond Green,flu (DTD)
3/25/2018,Warriors,,Stephen Curry,placed on IL with sprained MCL in left knee
3/25/2018,Warriors,Damian Jones,,activated from IL
3/26/2018,76ers,,Demetrius Jackson,placed on IL
3/26/2018,76ers,,Justin Anderson,placed on IL
3/26/2018,76ers,Jerryd Bayless,,activated from IL
3/26/2018,76ers,Markelle Fultz,,activated from IL
3/26/2018,Bulls,,Paul Zipser,sore left foot (out for season)
3/26/2018,Celtics,Marcus Morris,,activated from IL
3/26/2018,Grizzlies,,Ivan Rabb,placed on IL with right heel injury
3/26/2018,Grizzlies,Chandler Parsons,,returned to lineup
3/26/2018,Hornets,,Mangok Mathiang,placed on IL
3/26/2018,Hornets,,Marcus Paige,placed on IL
3/26/2018,Hornets,Nicolas Batum,,activated from IL
3/26/2018,Knicks,,Emmanuel Mudiay,illness (DTD)
3/26/2018,Knicks,,Kyle O'Quinn,placed on IL with strained left hip
3/26/2018,Knicks,Isaiah Hicks,,activated from IL
3/26/2018,Lakers,,Luol Deng,placed on IL with sprained left ankle (out for season)
3/26/2018,Lakers,Channing Frye,,activated from IL
3/26/2018,Nuggets,,Kenneth Faried,placed on IL
3/26/2018,Nuggets,Juan Hernangomez,,activated from IL
3/26/2018,Suns,,Devin Booker,placed on IL with sprained right hand (out for season)
3/26/2018,Suns,Alan Williams,,activated from IL
3/26/2018,Suns,Danuel House,,activated from IL
3/26/2018,Timberwolves,,Cole Aldrich,placed on IL with illness
3/26/2018,Timberwolves,,Derrick Rose,placed on IL with sprained right ankle
3/26/2018,Timberwolves,Aaron Brooks,,activated from IL
3/27/2018,Bucks,,Thon Maker,placed on IL with strained right groin
3/27/2018,Bucks,Marshall Plumlee,,activated from IL
3/27/2018,Bulls,,Paul Zipser,placed on IL with sore left foot (out for season)
3/27/2018,Bulls,Lauri Markkanen,,activated from IL
3/27/2018,Cavaliers,Jeff Green,,activated from IL
3/27/2018,Clippers,Tyrone Wallace,,activated from IL
3/27/2018,Heat,,Bam Adebayo,sprained right ankle (DTD)
3/27/2018,Heat,,Bam Adebayo,placed on IL with sprained right ankle
3/27/2018,Heat,Derrick Jones Jr.,,activated from IL
3/27/2018,Jazz,Tony Bradley,,activated from IL
3/27/2018,Kings,JaKarr Sampson,,activated from IL
3/27/2018,Kings,Zach Randolph,,activated from IL
3/27/2018,Mavericks,,Dorian Finney-Smith,placed on IL for rest
3/27/2018,Mavericks,,Dwight Powell,left knee injury (DTD)
3/27/2018,Mavericks,,Dwight Powell,bursitis in knee (DTD)
3/27/2018,Mavericks,,Nerlens Noel,rest (DTD)
3/27/2018,Mavericks,Jalen Jones,,activated from IL
3/27/2018,Mavericks,Johnathan Motley,,activated from IL
3/27/2018,Pacers,,Alex Poythress,placed on IL
3/27/2018,Pacers,Domas Sabonis,,activated from IL
3/27/2018,Pelicans,,Alex Ajinca,surgery on left knee (out for season)
3/27/2018,Pelicans,,Rajon Rondo,sprained right wrist (DTD)
3/27/2018,Pelicans,Nikola Mirotic,,returned to lineup
3/27/2018,Rockets,,Clint Capela,sprained left thumb (DTD)
3/27/2018,Rockets,,James Harden,placed on IL with sore right hand
