PLAYER,TEAM,GP,W,L,MIN,DIST. FEET,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF,Ano
Ognjen Kuzmic,GSW,21,16,5,92,33690,6.4,3.5,2.9,4.17,4.1,4.25,2013
O.J. Mayo,MIL,51,10,41,1314,465640,88.2,47.9,40.3,4.03,4.34,3.72,2013
Norris Cole,MIA,82,54,28,2014,768238,145.5,77.5,68,4.34,4.66,4.02,2013
Nikola Vucevic,ORL,57,19,38,1812,642448,121.7,65.9,55.8,4.05,4.32,3.77,2013
Nikola Pekovic,MIN,54,27,27,1663,582156,110.3,56.6,53.6,3.99,4.05,3.92,2013
Nicolas Batum,POR,82,54,28,2956,1150643,217.9,119.9,98,4.43,4.82,4.03,2013
Nick Young,LAL,64,21,43,1809,658156,124.7,64.9,59.7,4.14,4.46,3.84,2013
Nick Collison,OKC,81,58,23,1353,532550,100.9,53.8,47,4.49,4.95,4.05,2013
Nick Calathes,MEM,71,42,29,1173,464822,88,48.6,39.5,4.52,4.89,4.15,2013
Nene,WAS,53,30,23,1560,542080,102.7,52.8,49.9,3.95,4.12,3.8,2013
Nemanja Nedovic,GSW,23,16,7,134,51334,9.7,5.3,4.4,4.35,4.6,4.08,2013
Nazr Mohammed,CHI,80,47,33,562,188351,35.7,18.8,16.9,3.82,3.82,3.82,2013
Nate Wolters,MIL,57,10,47,1273,491359,93.1,52.3,40.8,4.4,4.88,3.9,2013
Nate Robinson,DEN,44,22,22,866,325969,61.7,32.5,29.2,4.29,4.59,3.99,2013
Nando De Colo,TOR,47,36,11,494,207888,39.4,22.2,17.1,4.79,5.22,4.31,2013
Mustafa Shakur,OKC,3,2,1,11,4242,0.8,0.4,0.4,4.19,4.19,4.2,2013
Monta Ellis,DAL,82,49,33,3023,1109452,210.1,114.2,96,4.18,4.52,3.84,2013
Mo Williams,POR,74,49,25,1833,689519,130.6,71.7,58.9,4.28,4.62,3.93,2013
Mirza Teletovic,BKN,71,40,31,1373,505291,95.7,51.3,44.4,4.21,4.45,3.96,2013
Miroslav Raduljica,MIL,48,7,41,465,166853,31.6,16.6,15,4.09,4.18,3.99,2013
Miles Plumlee,PHX,80,47,33,1964,745738,141.2,75.2,66,4.32,4.65,4,2013
Mike Scott,ATL,79,36,43,1454,559173,105.9,57.1,48.8,4.38,4.88,3.91,2013
Mike Muscala,ATL,20,10,10,215,86298,16.3,8.7,7.6,4.56,4.8,4.32,2013
Mike Miller,MEM,82,50,32,1706,636058,120.5,66.8,53.7,4.24,4.56,3.91,2013
Mike James,CHI,11,3,8,77,28571,5.4,3,2.4,4.19,4.54,3.82,2013
Mike Harris,UTA,20,1,19,225,83037,15.7,8.2,7.6,4.19,4.4,4.04,2013
Mike Dunleavy,CHI,82,48,34,2584,1028316,194.8,112,82.7,4.53,5.04,3.98,2013
Mike Conley,MEM,73,46,27,2446,913197,173,97.1,75.9,4.25,4.56,3.92,2013
Michael Kidd-Gilchrist,CHA,61,34,27,1472,578680,109.6,57.3,52.3,4.49,4.61,4.37,2013
Michael Carter-Williams,PHI,70,18,52,2414,977493,185.1,98.7,86.4,4.61,5.18,4.1,2013
Michael Beasley,MIA,55,36,19,831,312505,59.2,31.1,28.1,4.28,4.46,4.09,2013
Meyers Leonard,POR,40,20,20,355,134415,25.5,13.7,11.7,4.32,4.5,4.09,2013
Metta World Peace,NYK,29,10,19,388,136688,25.9,13.1,12.7,4.03,4.04,3.98,2013
Melvin Ely,NOP,2,2,0,27,9385,1.8,1,0.8,3.97,4.38,3.55,2013
Maurice Harkless,ORL,80,22,58,1950,756180,143.2,75.3,67.9,4.42,4.59,4.24,2013
Matthew Dellavedova,CLE,72,29,43,1271,499556,94.6,48.8,45.8,4.48,4.8,4.18,2013
Matt Bonner,SAS,61,43,18,690,270345,51.2,28.3,22.9,4.46,4.91,4.01,2013
Matt Barnes,LAC,63,45,18,1735,673134,127.5,65.7,61.8,4.41,4.82,4.05,2013
Mason Plumlee,BKN,69,36,33,1272,484978,91.9,47.8,44,4.35,4.46,4.22,2013
Marvin Williams,UTA,66,24,42,1674,590615,111.9,59.8,52.1,4.02,4.11,3.92,2013
Martell Webster,WAS,77,42,35,2127,769885,145.8,76.6,69.2,4.11,4.34,3.89,2013
Marreese Speights,GSW,78,47,31,971,343852,65.1,33.4,31.7,4.03,4.21,3.87,2013
Marquis Teague,BKN,40,20,20,442,153420,29.1,15.9,13.2,3.95,4.16,3.73,2013
Markieff Morris,PHX,81,47,34,2153,716573,135.7,69.5,66.2,3.8,3.94,3.66,2013
Mario Chalmers,MIA,73,49,24,2178,769890,145.8,77,68.8,4.03,4.32,3.75,2013
Marcus Thornton,BKN,71,33,38,1711,612706,116,60.1,56,4.1,4.2,4,2013
Marcus Morris Sr.,PHX,82,48,34,1800,655885,124.2,64.6,59.6,4.16,4.39,3.94,2013
