PLAYER,TEAM,GP,W,L,MIN,DIST. FEET,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF,Ano
Caris LeVert,BKN,56,15,41,1218,464253,87.9,46.3,41.6,4.34,4.75,3.96,2016
Cameron Payne,CHI,31,16,15,462,175303,33.2,17.9,15.3,4.32,4.75,3.91,2016
CJ Miles,IND,75,39,36,1756,625195,118.4,62.8,55.6,4.06,4.32,3.8,2016
CJ McCollum,POR,80,40,40,2796,1100306,208.4,118,90.4,4.49,5.02,3.94,2016
C.J. Wilcox,ORL,22,8,14,108,39316,7.4,3.9,3.6,4.12,4.44,3.93,2016
C.J. Watson,ORL,62,20,42,1012,385534,73,39.3,33.7,4.34,4.74,3.96,2016
Buddy Hield,SAC,82,31,51,1888,773763,146.5,78.6,67.9,4.66,5.12,4.23,2016
Bryn Forbes,SAS,35,24,11,280,106250,20.1,11.2,8.9,4.32,4.72,3.9,2016
Bruno Caboclo,TOR,8,7,1,38,15319,2.9,1.6,1.3,4.56,4.89,4.21,2016
Brook Lopez,BKN,75,20,55,2222,790177,149.7,79.3,70.4,4.05,4.35,3.76,2016
Brice Johnson,LAC,3,1,2,9,3086,0.6,0.3,0.3,3.9,4.03,3.78,2016
Briante Weber,CHA,20,12,8,205,84092,15.9,8.6,7.3,4.66,4.8,4.51,2016
Brian Roberts,CHA,41,16,25,416,162358,30.7,17.3,13.5,4.44,4.77,4.1,2016
Brandon Rush,MIN,47,15,32,1030,395982,75,39.4,35.6,4.37,4.42,4.32,2016
Brandon Knight,PHX,53,16,37,1121,434606,82.3,43.6,38.7,4.41,4.75,4.09,2016
Brandon Jennings,WAS,81,37,44,1801,698724,132.3,71.7,60.6,4.42,4.81,4.04,2016
Brandon Ingram,LAL,79,26,53,2279,872570,165.3,89.6,75.6,4.36,4.73,3.99,2016
Brandon Bass,LAC,52,29,23,577,215718,40.9,22.2,18.7,4.26,4.43,4.08,2016
Brandan Wright,MEM,28,14,14,447,154689,29.3,15.7,13.6,3.96,4,3.9,2016
Bradley Beal,WAS,77,48,29,2684,988730,187.3,98.5,88.7,4.19,4.54,3.86,2016
Boris Diaw,UTA,73,45,28,1283,461055,87.3,48.7,38.6,4.09,4.38,3.78,2016
Bojan Bogdanovic,WAS,80,23,57,2064,783557,148.4,79.3,69.1,4.33,4.72,3.96,2016
Bobby Portis,CHI,64,30,34,1000,388959,73.7,39.5,34.2,4.43,4.74,4.12,2016
Bobby Brown,HOU,25,18,7,123,42747,8.1,4.4,3.7,3.96,4.22,3.69,2016
Boban Marjanovic,DET,35,16,19,293,101941,19.3,10.1,9.2,3.96,4.1,3.83,2016
Blake Griffin,LAC,61,40,21,2076,694815,131.6,69.3,62.3,3.81,4,3.62,2016
Bismack Biyombo,ORL,81,29,52,1793,653277,123.7,65.2,58.6,4.15,4.34,3.96,2016
Beno Udrih,DET,39,18,21,560,218268,41.3,23.9,17.5,4.44,5.08,3.8,2016
Ben McLemore,SAC,61,27,34,1176,464885,88,47.5,40.5,4.5,4.75,4.24,2016
Ben Bentil,DAL,3,2,1,10,3826,0.7,0.4,0.3,4.26,4.49,3.98,2016
Axel Toupane,NOP,4,2,2,47,19334,3.7,1.8,1.8,4.68,4.89,4.27,2016
Avery Bradley,BOS,55,34,21,1835,693217,131.3,67.4,63.9,4.3,4.47,4.14,2016
Austin Rivers,LAC,74,43,31,2054,753353,142.7,76.3,66.4,4.18,4.37,3.98,2016
Arron Afflalo,SAC,61,23,38,1580,567204,107.4,59.4,48.1,4.09,4.29,3.88,2016
Aron Baynes,DET,75,34,41,1163,413446,78.3,39.8,38.5,4.05,4.13,3.96,2016
Arinze Onuaku,ORL,8,3,5,28,9156,1.7,0.9,0.9,3.6,4.05,3.61,2016
Archie Goodwin,BKN,15,8,7,214,85025,16.1,8.1,8,4.52,4.61,4.44,2016
Anthony Tolliver,SAC,65,26,39,1477,558286,105.7,58.4,47.4,4.3,4.62,3.98,2016
Anthony Morrow,CHI,49,25,24,714,251418,47.6,24.7,22.9,4.01,4.24,3.78,2016
Anthony Davis,NOP,75,31,44,2708,943063,178.6,92.7,85.9,3.96,4.33,3.64,2016
Anthony Brown,ORL,11,3,8,159,61134,11.6,6,5.6,4.38,4.7,4.09,2016
Anthony Bennett,BKN,22,3,19,243,92487,17.5,9.4,8.1,4.33,4.89,3.82,2016
Andrew Wiggins,MIN,82,31,51,3048,1067978,202.3,109.7,92.5,3.98,4.23,3.73,2016
Andrew Nicholson,BKN,38,20,18,342,122614,23.2,12.5,10.7,4.08,4.37,3.79,2016
Andrew Harrison,MEM,72,38,34,1474,512379,97,53.1,43.9,3.95,4.14,3.75,2016
Andrew Bogut,CLE,27,8,19,583,196325,37.2,20.4,16.8,3.84,3.92,3.75,2016
Andre Roberson,OKC,79,46,33,2376,931100,176.3,88.5,87.9,4.46,4.73,4.22,2016
Andre Iguodala,GSW,76,64,12,1998,740354,140.2,72.7,67.5,4.21,4.63,3.84,2016
Andre Drummond,DET,81,36,45,2409,860567,163,82.7,80.3,4.07,4.15,3.99,2016
Anderson Varejao,GSW,14,12,2,92,37556,7.1,3.7,3.4,4.64,4.89,4.39,2016
Amir Johnson,BOS,80,51,29,1608,567267,107.4,54.9,52.5,4.02,4.2,3.84,2016
Alonzo Gee,DEN,13,4,9,89,34106,6.5,3.3,3.2,4.36,4.35,4.37,2016
Allen Crabbe,POR,79,39,40,2254,860864,163,90,73,4.35,4.76,3.94,2016
Alexis Ajinca,NOP,39,15,24,584,215051,40.7,21.6,19.1,4.2,4.62,3.8,2016
Alex Poythress,PHI,6,0,6,157,63566,12,6.6,5.5,4.59,5.11,4.16,2016
Alex Len,PHX,75,20,55,1528,560071,106.1,56.2,49.9,4.17,4.54,3.83,2016
Alex Abrines,OKC,68,37,31,1055,403627,76.4,40.6,35.9,4.38,4.7,4.07,2016
Alec Burks,UTA,42,26,16,653,241567,45.8,24.2,21.5,4.22,4.33,4.07,2016
Alan Williams,PHX,47,11,36,708,259195,49.1,25.3,23.8,4.21,4.55,3.89,2016
Alan Anderson,LAC,30,20,10,308,111198,21.1,10.6,10.5,4.12,3.99,4.25,2016
Al-Farouq Aminu,POR,61,33,28,1773,655015,124.1,67.4,56.6,4.21,4.53,3.88,2016
Al Jefferson,IND,65,33,32,922,318371,60.3,32,28.3,3.93,3.97,3.89,2016
Al Horford,BOS,68,46,22,2193,767485,145.4,75.9,69.4,3.99,4.2,3.77,2016
Adreian Payne,MIN,18,5,13,135,51129,9.7,5.2,4.4,4.32,4.65,3.9,2016
Aaron Harrison,CHA,5,2,3,17,5904,1.1,0.6,0.5,3.98,4.19,3.75,2016
Aaron Gordon,ORL,80,29,51,2298,898738,170.2,90.8,79.4,4.45,4.85,4.06,2016
Aaron Brooks,IND,64,36,28,870,317025,60,32.5,27.5,4.14,4.35,3.92,2016
AJ Hammons,DAL,22,4,18,163,56567,10.7,5.6,5.1,3.94,4.16,3.72,2016
Zhou Qi,HOU,18,14,4,124,45460,8.6,4.6,4,4.1,4.2,3.99,2017
Zaza Pachulia,GSW,69,47,22,972,361212,68.4,34.3,34.1,4.25,4.56,3.98,2017
Zach Randolph,SAC,59,18,41,1508,523322,99.1,53.2,45.9,3.96,4.06,3.84,2017
Zach LaVine,CHI,24,9,15,656,263225,49.9,26.9,23,4.6,5.05,4.17,2017
Zach Collins,POR,66,41,25,1045,378582,71.7,38.9,32.8,4.15,4.32,3.98,2017
Yogi Ferrell,DAL,82,24,58,2282,884922,167.6,91.5,76.1,4.42,4.72,4.1,2017
Xavier Silas,BOS,2,1,1,7,2894,0.5,0.3,0.3,4.02,5.58,4.26,2017
Xavier Rathan-Mayes,MEM,5,0,5,118,42965,8.1,4.6,3.6,4.65,5.23,4.16,2017
Xavier Munford,MIL,6,2,4,21,7519,1.4,0.8,0.6,4.43,4.81,3.99,2017
Wilson Chandler,DEN,74,41,33,2346,828554,156.9,82,74.9,4.04,4.18,3.89,2017
Willy Hernangomez,CHA,48,20,28,494,189501,35.9,19.3,16.6,4.38,4.72,4.05,2017
Willie Reed,DET,42,20,22,428,160203,30.3,15.3,15,4.26,4.43,4.1,2017
Willie Cauley-Stein,SAC,73,23,50,2044,773866,146.6,78.3,68.3,4.31,4.59,4.04,2017
Will Barton,DEN,81,46,35,2683,976265,184.9,100.8,84.1,4.21,4.57,3.85,2017
Wesley Matthews,DAL,63,20,43,2131,786000,148.9,82.6,66.3,4.2,4.48,3.91,2017
Wesley Johnson,LAC,74,38,36,1486,552380,104.6,53.2,51.4,4.23,4.37,4.1,2017
Wes Iwundu,ORL,62,18,44,1020,398379,75.5,39.8,35.6,4.53,4.66,4.38,2017
Wayne Selden,MEM,35,10,25,691,259423,49.1,26.8,22.3,4.28,4.57,3.97,2017
Wayne Ellington,MIA,76,41,35,2018,772177,146.2,80.9,65.3,4.36,4.7,3.99,2017
Walt Lemon Jr.,NOP,5,4,1,35,9880,1.9,1,0.9,4.91,5.13,4.68,2017
Wade Baldwin IV,POR,7,4,3,80,33126,6.3,3.3,3,4.82,5.11,4.53,2017
Vincent Hunter,MEM,4,0,4,7,2482,0.5,0.3,0.2,4.06,4.99,3.17,2017
Vince Carter,SAC,58,20,38,1026,354221,67.1,36.5,30.6,3.97,4.2,3.72,2017
Victor Oladipo,IND,75,48,27,2552,995950,188.6,98.7,89.9,4.45,4.75,4.15,2017
Vander Blue,LAL,5,1,4,45,16437,3.1,1.6,1.5,4.16,4.85,3.61,2017
Udonis Haslem,MIA,14,9,5,72,22642,4.3,2.3,2,3.61,3.63,3.58,2017
Tyus Jones,MIN,82,47,35,1467,579802,109.8,59.3,50.5,4.5,4.71,4.27,2017
Tyson Chandler,PHX,46,15,31,1151,396482,75.1,39.7,35.4,3.93,4.13,3.72,2017
Tyrone Wallace,LAC,30,17,13,851,341990,64.8,34.2,30.6,4.59,4.98,4.22,2017
Tyreke Evans,MEM,52,19,33,1607,554871,105.1,58.5,46.6,3.94,4.3,3.56,2017
Tyler Zeller,MIL,64,26,38,1066,407822,77.2,41.3,36,4.38,4.65,4.12,2017
Tyler Ulis,PHX,71,20,51,1658,646198,122.4,63.4,59,4.44,4.67,4.21,2017
Tyler Lydon,DEN,1,1,0,2,897,0.2,0.1,0.1,5.53,4.28,7.8,2017
Tyler Johnson,MIA,71,38,33,2025,797625,151.1,80,71.1,4.48,4.65,4.3,2017
Tyler Ennis,LAL,54,22,32,683,270729,51.3,27.3,24,4.63,5.18,4.14,2017
Tyler Dorsey,ATL,56,15,41,974,382194,72.4,38.3,34.1,4.49,4.65,4.31,2017
Tyler Cavanaugh,ATL,38,11,27,503,203227,38.5,21.6,16.9,4.6,5.05,4.13,2017
Troy Williams,NYK,21,7,14,307,121931,23.1,12.3,10.8,4.63,4.88,4.38,2017
Troy Daniels,PHX,79,20,59,1622,653504,123.8,68.1,55.7,4.59,5.09,4.1,2017
Tristan Thompson,CLE,53,27,26,1072,423865,80.3,42.8,37.5,4.5,4.79,4.21,2017
Trey McKinney-Jones,IND,1,1,0,1,533,0.1,0.1,0,4.85,7.24,0,2017
Trey Lyles,DEN,73,41,32,1391,503426,95.3,52.5,42.8,4.16,4.52,3.79,2017
Trey Burke,NYK,36,10,26,785,308777,58.5,31.5,27,4.52,4.87,4.17,2017
Trevor Booker,IND,67,36,31,1148,442851,83.9,45.2,38.7,4.41,4.68,4.14,2017
Trevor Ariza,HOU,67,51,16,2269,792815,150.2,76.1,74.1,3.98,4.03,3.94,2017
Treveon Graham,CHA,63,28,35,1050,422348,80,42.8,37.2,4.59,4.79,4.38,2017
Travis Wear,LAL,17,7,10,228,84794,16.1,8.5,7.5,4.43,5.07,3.84,2017
Torrey Craig,DEN,39,22,17,629,254751,48.2,24.9,23.4,4.62,4.78,4.48,2017
Tony Snell,MIL,74,42,32,2028,718704,136.1,66.9,69.2,4.06,4.18,3.94,2017
Tony Parker,SAS,55,32,23,1071,440428,83.4,47.7,35.7,4.68,5.12,4.19,2017
Tony Bradley,UTA,9,6,3,29,10855,2.1,1.1,1,4.35,4.35,4.35,2017
Tony Allen,NOP,22,12,10,273,104056,19.7,10.3,9.4,4.34,4.68,4.02,2017
Tomas Satoransky,WAS,73,39,34,1643,658083,124.6,66.3,58.4,4.62,4.87,4.37,2017
Tobias Harris,LAC,80,39,41,2668,1044959,197.9,109.6,88.3,4.46,4.91,4,2017
Timothe Luwawu-Cabarrot,PHI,51,29,22,795,337491,63.9,35.1,28.8,4.83,5.37,4.3,2017
Timofey Mozgov,BKN,29,11,18,346,138374,26.2,14.7,11.5,4.58,5,4.13,2017
Tim Quarterman,HOU,3,2,1,13,5140,1,0.6,0.4,4.71,4.72,4.7,2017
Tim Hardaway Jr.,NYK,57,19,38,1885,704157,133.4,71,62.3,4.28,4.53,4.02,2017
Tim Frazier,WAS,59,31,28,838,321921,61,32.1,28.8,4.42,4.66,4.17,2017
Thon Maker,MIL,73,40,33,1224,489950,92.8,45.7,47.1,4.57,4.65,4.49,2017
Thomas Bryant,LAL,15,7,8,72,28351,5.4,2.9,2.4,4.5,5,3.86,2017
Thaddeus Young,IND,81,48,33,2607,996742,188.8,97.1,91.6,4.36,4.56,4.16,2017
Thabo Sefolosha,UTA,38,16,22,806,309082,58.5,32.1,26.4,4.38,4.74,4.01,2017
Terry Rozier,BOS,77,51,26,2001,796487,150.8,83,67.8,4.53,4.88,4.17,2017
Terrence Ross,ORL,24,10,14,600,239194,45.3,23.2,22.1,4.55,4.89,4.25,2017
Terrance Ferguson,OKC,59,37,22,742,282160,53.4,26,27.4,4.32,4.29,4.35,2017
Taurean Prince,ATL,81,24,57,2431,884029,167.4,88.5,78.9,4.14,4.33,3.95,2017
Tarik Black,HOU,51,40,11,536,204257,38.7,20.6,18.1,4.33,4.55,4.09,2017
Taj Gibson,MIN,82,47,35,2726,1008201,190.9,102.2,88.7,4.21,4.36,4.05,2017
T.J. Warren,PHX,65,18,47,2142,838088,158.7,83.5,75.2,4.46,4.72,4.21,2017
T.J. McConnell,PHI,75,50,25,1680,707599,134,72.9,61.1,4.78,5.24,4.32,2017
T.J. Leaf,IND,53,31,22,459,180450,34.2,18.8,15.3,4.51,4.78,4.19,2017
Steven Adams,OKC,75,43,32,2457,883440,167.3,82.7,84.6,4.09,4.22,3.98,2017
Sterling Brown,MIL,54,26,28,776,297300,56.3,27.8,28.5,4.42,4.46,4.38,2017
Stephen Curry,GSW,51,41,10,1631,650994,123.3,65.5,57.8,4.55,5.24,3.96,2017
Stanley Johnson,DET,69,33,36,1893,711036,134.7,70,64.7,4.29,4.43,4.15,2017
Spencer Dinwiddie,BKN,78,27,51,2255,819364,155.2,87.6,67.5,4.13,4.51,3.72,2017
Solomon Hill,NOP,12,8,4,187,70532,13.4,7.2,6.2,4.31,4.79,3.86,2017
Skal Labissiere,SAC,60,19,41,1240,478051,90.5,47.7,42.8,4.42,4.65,4.19,2017
Sindarius Thornwell,LAC,73,36,37,1156,462989,87.7,44.2,43.5,4.55,4.75,4.37,2017
Shelvin Mack,ORL,69,21,48,1365,538651,102,55.4,46.6,4.54,4.92,4.16,2017
Shaun Livingston,GSW,71,49,22,1129,440234,83.4,44.2,39.2,4.47,5.01,3.99,2017
Shaquille Harrison,PHX,23,3,20,384,169751,32.1,17.2,14.9,5,5.5,4.53,2017
Shane Larkin,BOS,51,36,15,743,287124,54.4,28.9,25.5,4.41,4.51,4.3,2017
Shabazz Napier,POR,74,46,28,1535,566585,107.3,59.5,47.8,4.23,4.51,3.93,2017
Shabazz Muhammad,MIL,43,25,18,418,165982,31.4,15.8,15.6,4.53,4.56,4.5,2017
Serge Ibaka,TOR,76,53,23,2093,772303,146.3,79.3,67,4.22,4.57,3.88,2017
Semi Ojeleye,BOS,70,47,23,1132,440878,83.5,45.3,38.2,4.43,4.71,4.14,2017
Sean Kilpatrick,CHI,52,22,30,640,240704,45.6,24.3,21.3,4.32,4.68,3.97,2017
Scotty Hopson,DAL,1,0,1,8,3579,0.7,0.3,0.3,5.04,4.12,4.54,2017
Sam Dekker,LAC,73,36,37,883,367634,69.6,37,32.7,4.74,5.27,4.27,2017
Salah Mejri,DAL,61,21,40,729,279342,52.9,28.2,24.7,4.37,4.49,4.23,2017
Ryan Arcidiacono,CHI,24,6,18,304,125990,23.9,12.6,11.2,4.73,5.24,4.23,2017
Ryan Anderson,HOU,66,52,14,1725,625303,118.4,62.9,55.6,4.13,4.39,3.89,2017
Russell Westbrook,OKC,78,47,31,2843,1033199,195.7,104.9,90.8,4.14,4.67,3.66,2017
Rudy Gobert,UTA,56,37,19,1816,681849,129.1,70.7,58.4,4.3,4.62,3.97,2017
Rudy Gay,SAS,57,36,21,1231,473057,89.6,49.1,40.5,4.38,4.63,4.1,2017
Royce O'Neale,UTA,69,43,26,1150,444393,84.2,45.7,38.4,4.44,4.72,4.13,2017
Rondae Hollis-Jefferson,BKN,66,25,41,1851,730466,138.3,75.1,63.3,4.49,4.8,4.19,2017
Ron Baker,NYK,28,11,17,367,153530,29.1,15.6,13.5,4.78,5.25,4.32,2017
Rodney Purvis,ORL,16,5,11,290,106290,20.1,10.6,9.5,4.26,4.4,4.11,2017
Rodney McGruder,MIA,18,11,7,299,121414,23,12.2,10.8,4.62,4.85,4.39,2017
Rodney Hood,CLE,60,29,31,1615,612204,115.9,62.5,53.5,4.31,4.62,4.01,2017
Robin Lopez,CHI,64,23,41,1690,630136,119.3,64,55.4,4.24,4.59,3.92,2017
Robert Covington,PHI,79,51,28,2501,938419,177.7,93.3,84.4,4.27,4.65,3.92,2017
Ricky Rubio,UTA,77,44,33,2254,877002,166.1,93.4,72.7,4.45,4.89,3.99,2017
Richaun Holmes,PHI,47,30,17,728,270969,51.3,26.8,24.5,4.23,4.5,3.98,2017
Richard Jefferson,DEN,20,10,10,163,59241,11.2,5.9,5.3,4.13,4.2,4.06,2017
Reggie Jackson,DET,45,27,18,1201,454065,86,47.3,38.7,4.32,4.67,3.95,2017
Reggie Hearn,DET,3,3,0,7,2057,0.4,0.2,0.2,4.21,3.6,5.06,2017
Reggie Bullock,DET,62,32,30,1732,668635,126.6,67.2,59.4,4.42,4.66,4.16,2017
Raymond Felton,OKC,80,48,32,1335,476269,90.2,46.7,43.5,4.05,4.24,3.86,2017
Raul Neto,UTA,41,28,13,498,198398,37.6,20.7,16.9,4.61,4.96,4.23,2017
Rashad Vaughn,ORL,28,13,15,212,79337,15,7.6,7.4,4.28,4.4,4.18,2017
Ramon Sessions,WAS,28,10,18,392,139634,26.4,14.7,11.7,4.2,4.62,3.77,2017
Rajon Rondo,NOP,65,41,24,1705,643319,121.8,63.8,58.1,4.29,4.67,3.95,2017
RJ Hunter,HOU,5,3,2,45,17032,3.2,1.7,1.5,4.14,4.53,3.78,2017
Quinn Cook,GSW,33,21,12,741,304994,57.8,32,25.7,4.75,5.27,4.22,2017
Quincy Pondexter,CHI,23,6,17,196,75699,14.3,7.5,6.8,4.39,4.74,4.07,2017
Quincy Acy,BKN,68,25,43,1323,482589,91.4,50.8,40.6,4.16,4.51,3.79,2017
Paul Zipser,CHI,54,17,37,824,326417,61.8,33.2,28.6,4.51,5.02,4.04,2017
Paul Millsap,DEN,38,22,16,1143,400571,75.9,40.6,35.2,4.11,4.39,3.82,2017
Paul George,OKC,78,47,31,2854,1055556,199.9,105.5,94.4,4.21,4.62,3.83,2017
Pau Gasol,SAS,77,45,32,1812,652145,123.5,67.7,55.8,4.1,4.36,3.83,2017
Patty Mills,SAS,82,47,35,2107,837774,158.7,89.3,69.4,4.53,4.94,4.1,2017
Patrick Patterson,OKC,80,48,32,1225,438280,83,43.3,39.7,4.07,4.33,3.81,2017
Patrick McCaw,GSW,57,41,16,961,372982,70.6,37,33.6,4.42,4.69,4.15,2017
Patrick Beverley,LAC,11,5,6,334,133011,25.2,13.5,11.7,4.53,4.85,4.21,2017
Pat Connaughton,POR,82,49,33,1488,576308,109.1,60.5,48.6,4.41,4.68,4.11,2017
Pascal Siakam,TOR,80,58,22,1654,663815,125.7,67.6,58.1,4.59,5.02,4.17,2017
PJ Dozier,OKC,2,1,1,3,1187,0.2,0.1,0.1,3.76,3.87,3.66,2017
P.J. Tucker,HOU,82,65,17,2281,813734,154.1,79.5,74.6,4.06,4.2,3.93,2017
Otto Porter Jr.,WAS,77,42,35,2432,955862,181,96.8,84.3,4.48,4.78,4.18,2017
Omri Casspi,GSW,53,40,13,742,294488,55.8,29.9,25.9,4.54,4.99,4.12,2017
Omer Asik,CHI,18,7,11,182,64561,12.2,6.3,5.9,4,4.31,3.73,2017
Omari Johnson,MEM,4,1,3,75,28087,5.3,2.9,2.5,4.24,4.62,4.02,2017
Okaro White,CLE,6,2,4,80,31722,6,3.1,2.9,4.55,4.75,4.35,2017
OG Anunoby,TOR,74,51,23,1481,585554,110.9,58,52.9,4.54,4.71,4.36,2017
Norman Powell,TOR,70,51,19,1062,422629,80,42.5,37.6,4.56,4.91,4.23,2017
Noah Vonleh,CHI,54,24,30,876,336668,63.8,34.4,29.3,4.4,4.77,4.01,2017
Nikola Vucevic,ORL,57,17,40,1683,590662,111.9,58.2,53.7,4.05,4.26,3.84,2017
Nikola Mirotic,NOP,55,34,21,1494,577050,109.3,57.9,51.4,4.39,4.9,3.94,2017
Nikola Jokic,DEN,75,43,32,2443,858033,162.5,89.3,73.2,4.06,4.46,3.66,2017
Nik Stauskas,BKN,41,14,27,523,201140,38.1,21,17.1,4.37,4.78,3.95,2017
Nigel Hayes,SAC,9,6,3,122,45943,8.7,4.9,3.8,4.22,4.68,3.75,2017
Nicolas Brussino,ATL,4,0,4,10,3745,0.7,0.4,0.3,4.25,5.31,3.36,2017
Nicolas Batum,CHA,64,27,37,1981,764264,144.7,76.8,67.9,4.4,4.65,4.14,2017
Nick Young,GSW,80,56,24,1393,502294,95.1,50.3,44.9,4.13,4.42,3.85,2017
Nick Collison,OKC,13,9,4,58,22639,4.3,2.3,1.9,4.42,4.68,3.94,2017
Nerlens Noel,DAL,30,6,24,472,176921,33.5,18,15.5,4.28,4.41,4.14,2017
Nene,HOU,52,42,10,758,282483,53.5,27.6,25.9,4.24,4.51,3.99,2017
Nemanja Bjelica,MIN,67,38,29,1371,524361,99.3,53.2,46.2,4.35,4.53,4.17,2017
Naz Mitrou-Long,UTA,1,0,1,1,231,0,0,0,0,0,0,2017
Nate Wolters,UTA,5,3,2,19,6580,1.2,0.7,0.5,3.87,4.25,3.43,2017
Myles Turner,IND,65,39,26,1836,691079,130.9,69.9,61,4.29,4.62,3.97,2017
Myke Henry,MEM,20,3,17,378,153592,29.1,16.2,12.9,4.64,4.99,4.26,2017
Montrezl Harrell,LAC,76,39,37,1293,473126,89.6,46,43.6,4.16,4.49,3.87,2017
Monte Morris,DEN,3,2,1,25,9772,1.9,1,0.8,4.52,4.79,3.79,2017
Mirza Teletovic,MIL,9,4,5,142,52521,9.9,5.3,4.7,4.19,4.57,3.92,2017
Mindaugas Kuzminskas,NYK,1,0,1,2,683,0.1,0.1,0.1,3.23,11.78,4.46,2017
Milton Doyle,BKN,10,2,8,125,48471,9.2,5.1,4,4.45,4.7,4.06,2017
Milos Teodosic,LAC,45,29,16,1134,430209,81.5,43.5,38,4.32,4.75,3.91,2017
Miles Plumlee,ATL,55,19,36,918,358213,67.8,37.7,30.1,4.48,4.88,4.05,2017
Mike Scott,WAS,76,39,37,1406,541465,102.6,55.8,46.7,4.42,4.79,4.04,2017
Mike Muscala,ATL,53,14,39,1060,429756,81.4,44.8,36.6,4.63,5.02,4.23,2017
Mike James,NOP,36,11,25,686,271321,51.4,27.7,23.6,4.51,4.85,4.14,2017
Mike Conley,MEM,12,7,5,373,139573,26.4,14.5,11.9,4.25,4.64,3.87,2017
Michael Kidd-Gilchrist,CHA,74,34,40,1850,736667,139.5,71.6,67.9,4.53,4.62,4.43,2017
Michael Carter-Williams,CHA,52,23,29,835,334531,63.4,34.5,28.8,4.58,4.81,4.32,2017
Michael Beasley,NYK,73,23,50,1616,595929,112.9,60.3,52.6,4.24,4.48,3.99,2017
Meyers Leonard,POR,33,17,16,254,92572,17.5,9.7,7.8,4.13,4.27,3.96,2017
Maxi Kleber,DAL,72,20,52,1206,449178,85.1,45.2,39.8,4.25,4.38,4.1,2017
Maurice Harkless,POR,59,36,23,1264,484091,91.7,49.3,42.4,4.39,4.56,4.21,2017
Matthew Dellavedova,MIL,37,21,16,691,262953,49.8,26.8,23,4.34,4.8,3.9,2017
Matt Williams Jr.,MIA,3,1,2,11,4169,0.8,0.4,0.4,4.22,4.56,3.93,2017
Matt Costello,SAS,4,2,2,32,12427,2.4,1.2,1.2,4.48,4.74,4.25,2017
Mason Plumlee,DEN,74,40,34,1439,530859,100.5,53.6,47,4.26,4.55,3.98,2017
Marvin Williams,CHA,78,33,45,2006,765513,145,79.8,65.2,4.35,4.77,3.93,2017
Marshall Plumlee,MIL,8,5,3,52,20154,3.8,2.1,1.7,4.43,4.73,4.1,2017
Marreese Speights,ORL,52,15,37,675,220179,41.7,21.7,20,3.71,3.88,3.55,2017
Marquis Teague,MEM,3,0,3,74,26059,4.9,2.8,2.2,4,4.55,3.6,2017
Marquese Chriss,PHX,72,19,53,1527,583963,110.6,60,50.6,4.35,4.8,3.92,2017
Markieff Morris,WAS,73,37,36,1968,671101,127.1,66.4,60.7,3.89,4.04,3.74,2017
Markelle Fultz,PHI,14,11,3,253,103546,19.6,10.6,9,4.67,5.07,4.27,2017
Markel Brown,HOU,4,4,0,31,12252,2.3,1.2,1.1,4.39,4.42,4.37,2017
Mario Hezonja,ORL,75,21,54,1657,619970,117.4,63.5,53.9,4.29,4.63,3.95,2017
Mario Chalmers,MEM,66,21,45,1421,518373,98.2,55.5,42.7,4.16,4.59,3.71,2017
Marcus Smart,BOS,51,35,16,1537,552715,104.7,55.6,49.1,4.1,4.37,3.83,2017
Marcus Paige,CHA,5,4,1,28,10549,2,1.1,0.9,4.29,4.45,4.12,2017
Marcus Morris Sr.,BOS,52,32,20,1394,503221,95.3,52,43.3,4.12,4.41,3.82,2017
Marcus Georges-Hunt,MIN,42,24,18,224,80496,15.2,7.6,7.6,4.08,4.03,4.13,2017
Marco Belinelli,PHI,79,39,40,1921,754083,142.8,79.2,63.6,4.47,5.01,3.95,2017
Marcin Gortat,WAS,82,43,39,2074,778697,147.5,78,69.5,4.28,4.5,4.06,2017
Marc Gasol,MEM,73,21,52,2408,787034,149.1,82.2,66.8,3.74,3.98,3.47,2017
MarShon Brooks,MEM,7,2,5,193,70879,13.4,7.3,6.1,4.18,4.37,3.99,2017
Manu Ginobili,SAS,65,39,26,1299,479020,90.7,50.3,40.4,4.2,4.53,3.86,2017
Mangok Mathiang,CHA,4,3,1,20,7733,1.5,0.8,0.6,4.59,4.51,4.01,2017
Malik Monk,CHA,63,26,37,853,338064,64,34.9,29.1,4.51,4.84,4.18,2017
Malik Beasley,DEN,62,34,28,583,226864,43,22.8,20.2,4.48,4.78,4.18,2017
Malcolm Miller,TOR,15,15,0,126,52507,9.9,5.4,4.5,4.72,4.88,4.53,2017
Malcolm Delaney,ATL,53,16,37,989,367187,69.5,37.9,31.7,4.23,4.57,3.89,2017
Malcolm Brogdon,MIL,47,25,22,1400,527697,99.9,52.5,47.4,4.29,4.67,3.93,2017
Malachi Richardson,TOR,26,8,18,323,117164,22.2,12,10.1,4.13,4.37,3.84,2017
Luol Deng,LAL,1,0,1,13,5284,1,0.5,0.5,4.61,4.9,4.35,2017
Luke Kornet,NYK,20,6,14,326,127640,24.2,13.3,10.8,4.46,4.88,3.99,2017
Luke Kennard,DET,73,34,39,1463,569351,107.8,58.8,49.1,4.47,4.89,4.06,2017
Luke Babbitt,MIA,49,15,34,690,280148,53.1,29.5,23.5,4.63,5.05,4.18,2017
