PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,Ano
Julius Randle,LAL,22,6/9,250,Kentucky,USA,2014,1,7,74,975,636,264,-9.8,6.60%,23.10%,21.20%,54.30%,19.50%,2016
Justin Anderson,PHI,23,6/6,228,Virginia,USA,2015,1,21,75,532,245,66,-7.1,5.40%,15.10%,20.20%,53.70%,8.90%,2016
Justin Hamilton,BKN,27,7/1,255,Louisiana State,USA,2012,2,45,64,442,262,55,-11.7,5.70%,15.20%,15.80%,55.00%,7.40%,2016
Justin Harper,PHI,27,6/10,225,Richmond,USA,2011,2,32,3,12,5,2,-18.1,6.10%,9.40%,20.80%,50.00%,10.00%,2016
Justin Holiday,NYK,28,6/6,185,Washington,USA,Undrafted,Undrafted,Undrafted,82,629,225,102,-0.8,1.60%,11.40%,16.60%,54.90%,9.50%,2016
Justise Winslow,MIA,21,6/7,225,Duke,USA,2015,1,10,18,196,94,66,-1.1,3.50%,10.70%,19.80%,39.90%,15.30%,2016
Jusuf Nurkic,POR,22,7/1,280,None,Bosnia and He...,2014,1,16,65,662,467,123,-1.4,10.80%,21.20%,23.20%,52.80%,14.20%,2016
KJ McDaniels,BKN,24,6/6,205,Clemson,USA,2014,2,32,49,206,82,13,-3.6,3.00%,12.50%,18.00%,55.50%,4.00%,2016
Karl-Anthony Towns,MIN,21,7/1,244,Kentucky,USA,2015,1,1,82,"2,061.00","1,007.00",220,-0.3,10.10%,24.70%,27.10%,61.80%,12.70%,2016
Kawhi Leonard,SAS,26,6/7,230,San Diego State,USA,2011,1,15,74,"1,888.00",430,260,8.7,3.40%,14.30%,30.60%,61.00%,18.20%,2016
Kay Felder,CLE,22,5/9,176,None,USA,2016,2,54,42,166,41,58,-6.5,0.80%,9.20%,24.30%,46.20%,26.10%,2016
Kelly Olynyk,BOS,26,7/1,238,Gonzaga,Canada,2013,1,13,75,678,361,148,-0.1,4.60%,18.10%,18.50%,60.30%,15.90%,2016
Kelly Oubre Jr.,WAS,21,6/7,205,Kansas,USA,2015,1,15,79,501,261,47,-0.6,3.80%,12.20%,14.30%,51.60%,4.20%,2016
Kemba Walker,CHA,27,6/1,184,Connecticut,USA,2011,1,9,79,"1,830.00",308,434,3.5,1.60%,9.50%,28.60%,56.90%,28.20%,2016
Kenneth Faried,DEN,27,6/8,228,Morehead State,USA,2011,1,22,61,587,462,55,-1.7,13.50%,21.80%,17.90%,58.80%,6.40%,2016
Kent Bazemore,ATL,27,6/5,201,Old Dominion,USA,Undrafted,Undrafted,Undrafted,73,801,231,177,-1.7,2.20%,8.90%,20.20%,50.40%,14.00%,2016
Kentavious Caldwell-Pope,DET,24,6/5,205,Georgia,USA,2013,1,8,76,"1,047.00",248,193,-3.3,2.00%,7.90%,18.70%,51.90%,11.10%,2016
Kevin Durant,GSW,28,6/9,240,Texas-Austin,USA,2007,1,2,62,"1,555.00",513,300,15.7,2.00%,20.70%,27.10%,65.10%,21.80%,2016
Kevin Love,CLE,28,6/10,251,UCLA,USA,2008,1,5,60,"1,142.00",666,116,8.4,7.70%,26.70%,25.30%,57.30%,9.30%,2016
Kevin Seraphin,IND,27,6/10,278,None,France,2010,1,17,49,232,142,23,-9.8,7.00%,18.10%,18.40%,55.90%,6.90%,2016
Kevon Looney,GSW,21,6/9,220,UCLA,USA,2015,1,30,53,135,124,29,-3.4,9.30%,16.40%,12.60%,55.30%,9.40%,2016
Khris Middleton,MIL,25,6/8,234,Texas A&M,USA,2012,2,39,29,426,123,99,5.4,1.40%,13.50%,22.70%,57.00%,17.50%,2016
Klay Thompson,GSW,27,6/7,215,Washington State,USA,2011,1,11,78,"1,742.00",285,160,14.1,2.00%,8.10%,25.80%,59.20%,9.00%,2016
Kosta Koufos,SAC,28,7/1,265,Ohio State,USA,2008,1,23,71,470,403,47,-5.5,8.40%,20.20%,15.10%,56.00%,5.30%,2016
Kris Dunn,MIN,23,6/4,205,Providence,USA,2016,1,5,78,293,166,188,-3.4,1.80%,11.20%,13.90%,43.20%,20.00%,2016
Kris Humphries,ATL,32,6/9,235,Minnesota,USA,2004,1,14,56,257,206,29,-4.2,8.30%,21.40%,17.60%,51.40%,7.00%,2016
Kristaps Porzingis,NYK,21,7/3,240,None,Latvia,2015,1,4,66,"1,196.00",475,97,-2.4,5.00%,15.90%,24.00%,54.60%,7.30%,2016
Kyle Anderson,SAS,23,6/9,230,UCLA,USA,2014,1,30,72,246,208,91,9.1,3.40%,16.70%,11.80%,52.50%,12.60%,2016
Kyle Korver,CLE,36,6/7,212,Creighton,USA,2003,2,51,67,678,186,110,-5.7,0.40%,10.00%,14.70%,63.50%,9.30%,2016
Kyle Lowry,TOR,31,6/1,205,Villanova,USA,2006,1,24,60,"1,344.00",286,417,7.7,2.20%,10.90%,24.30%,62.30%,29.30%,2016
Kyle O'Quinn,NYK,27,6/10,250,Norfolk State,USA,2012,2,49,79,496,439,117,-5.4,12.00%,21.90%,18.20%,55.20%,14.90%,2016
Kyle Singler,OKC,29,6/8,228,Duke,USA,2011,2,33,32,88,48,9,2,1.90%,10.90%,11.20%,48.60%,3.40%,2016
Kyle Wiltjer,HOU,24,6/10,240,Gonzaga,Canada,Undrafted,Undrafted,Undrafted,14,13,10,2,-39.2,8.70%,13.60%,17.70%,43.70%,6.90%,2016
Kyrie Irving,CLE,25,6/3,193,Duke,Australia,2011,1,1,72,"1,816.00",230,418,6.4,2.00%,6.80%,29.50%,58.00%,27.80%,2016
LaMarcus Aldridge,SAS,31,6/11,260,University of Texas at Austin,USA,2006,1,2,72,"1,243.00",523,139,6.2,7.60%,15.30%,24.80%,53.20%,10.00%,2016
Lamar Patterson,ATL,25,6/5,225,Pittsburgh,USA,2014,2,48,5,9,7,6,17.7,2.60%,12.20%,23.00%,27.60%,25.00%,2016
Lance Stephenson,IND,26,6/5,230,Cincinnati,USA,2010,2,40,18,122,52,59,1,1.00%,12.80%,18.10%,48.50%,25.40%,2016
Lance Thomas,NYK,29,6/8,235,Duke,USA,Undrafted,Undrafted,Undrafted,46,275,142,35,-9.8,3.10%,10.90%,13.10%,51.60%,5.30%,2016
Langston Galloway,SAC,25,6/2,200,St. Joseph's (PA),USA,Undrafted,Undrafted,Undrafted,74,585,156,93,-2.3,1.70%,8.20%,18.00%,51.00%,9.80%,2016
Larry Nance Jr.,LAL,24,6/9,230,Wyoming,USA,2015,1,27,63,449,369,96,-4.1,8.00%,18.00%,13.30%,56.70%,9.60%,2016
Larry Sanders,CLE,28,6/11,230,Va Commonwealth,USA,2010,1,15,5,4,4,0,-3.7,37.50%,7.70%,22.60%,41.00%,0.00%,2016
Lavoy Allen,IND,28,6/9,260,Temple,USA,2011,2,50,61,177,219,57,-6.8,11.60%,13.40%,10.30%,48.50%,9.30%,2016
LeBron James,CLE,32,6/8,250,None,USA,2003,1,1,74,"1,954.00",639,646,8.3,3.60%,18.90%,29.20%,61.90%,38.80%,2016
Leandro Barbosa,PHX,34,6/3,194,None,Brazil,2003,1,28,67,419,104,81,-3,1.50%,9.30%,20.10%,50.90%,12.80%,2016
Lou Williams,HOU,30,6/1,175,None,USA,2005,2,45,81,"1,421.00",202,239,0.9,1.20%,8.40%,27.70%,59.30%,19.30%,2016
Luc Mbah a Moute,LAC,30,6/8,230,UCLA,Cameroon,2008,2,37,80,484,170,39,8.6,2.60%,6.70%,11.40%,58.10%,2.90%,2016
Lucas Nogueira,TOR,24,7/1,220,None,Brazil,2013,1,16,57,253,244,42,8.6,7.70%,13.90%,9.30%,68.20%,5.30%,2016
Luis Scola,BKN,37,6/9,241,None,Argentina,2002,2,55,36,184,139,37,-8.6,10.50%,18.90%,18.00%,55.00%,12.40%,2016
Luke Babbitt,MIA,28,6/9,225,Nevada-Reno,USA,2010,1,16,68,324,141,36,0,1.10%,11.60%,13.00%,56.30%,4.90%,2016
Luol Deng,LAL,32,6/9,220,Duke,United Kingdo...,2004,1,7,56,425,295,74,-6.1,4.00%,15.50%,14.10%,47.00%,7.30%,2016
Malachi Richardson,SAC,21,6/6,205,Syracuse,USA,2016,1,22,22,79,23,11,-4.2,1.50%,9.90%,18.90%,51.70%,9.20%,2016
Malcolm Brogdon,MIL,24,6/5,215,Virginia,USA,2016,2,36,75,767,213,317,2.6,2.50%,8.60%,18.20%,55.50%,23.90%,2016
Malcolm Delaney,ATL,28,6/3,190,Virginia Tech,USA,Undrafted,Undrafted,Undrafted,73,391,123,193,1.4,0.80%,9.00%,18.10%,45.60%,24.10%,2016
Malik Beasley,DEN,20,6/5,196,Florida State,USA,2016,1,19,22,83,17,11,15.5,3.20%,6.40%,21.60%,53.60%,9.80%,2016
Manny Harris,DAL,27,6/5,185,Michigan,USA,Undrafted,Undrafted,Undrafted,4,8,9,2,-39.5,7.30%,35.30%,29.20%,23.90%,14.30%,2016
Manu Ginobili,SAS,39,6/6,205,None,Argentina,1999,2,57,69,517,157,183,9.5,2.20%,9.90%,18.80%,53.20%,19.90%,2016
Marc Gasol,MEM,32,7/1,255,None,Spain,2007,2,48,74,"1,446.00",464,338,1,2.40%,16.70%,26.20%,55.40%,24.60%,2016
Marcelo Huertas,LAL,34,6/3,200,None,Brazil,Undrafted,Undrafted,Undrafted,23,63,24,52,-7.7,0.80%,10.20%,17.00%,41.70%,31.10%,2016
Marcin Gortat,WAS,33,6/11,240,None,Poland,2005,2,57,82,883,849,121,3.5,9.30%,24.30%,14.60%,59.30%,6.50%,2016
Marco Belinelli,CHA,31,6/5,210,None,Italy,2007,1,18,74,780,178,147,-0.6,0.80%,9.30%,18.70%,56.60%,13.10%,2016
Marcus Georges-Hunt,ORL,23,6/6,220,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,5,14,9,3,-26.2,1.90%,15.10%,12.20%,61.40%,13.00%,2016
Marcus Morris Sr.,DET,27,6/9,235,Kansas,USA,2011,1,14,79,"1,105.00",366,160,-2,2.70%,11.60%,20.10%,50.80%,9.50%,2016
Marcus Smart,BOS,23,6/4,220,Oklahoma State,USA,2014,1,6,79,835,305,364,3,3.20%,9.20%,18.30%,48.60%,22.60%,2016
Marcus Thornton,WAS,30,6/4,205,Louisiana State,USA,2009,2,43,33,219,76,41,-12.2,3.70%,10.40%,18.30%,49.40%,10.80%,2016
Mario Hezonja,ORL,22,6/8,218,None,Croatia,2015,1,5,65,317,146,62,-14.2,1.90%,13.30%,18.70%,45.00%,11.00%,2016
Markieff Morris,WAS,27,6/10,245,Kansas,USA,2011,1,13,76,"1,063.00",493,126,4.2,4.60%,16.20%,20.30%,54.00%,7.60%,2016
Marquese Chriss,PHX,19,6/10,233,Washington,USA,2016,1,8,82,753,348,60,-9.5,5.20%,14.80%,19.40%,52.90%,5.10%,2016
Marreese Speights,LAC,29,6/10,255,Florida,USA,2008,1,16,82,711,373,65,-0.9,6.90%,21.80%,23.40%,58.40%,8.50%,2016
Marshall Plumlee,NYK,24,7/1,250,Duke,USA,Undrafted,Undrafted,Undrafted,21,40,51,10,2.8,12.40%,16.30%,12.10%,52.10%,8.20%,2016
Marvin Williams,CHA,31,6/9,237,North Carolina,USA,2005,1,2,76,849,500,106,-0.8,3.70%,18.00%,16.00%,55.10%,7.20%,2016
Mason Plumlee,DEN,27,6/11,255,Duke,USA,2013,1,22,81,842,605,284,0.7,8.00%,20.00%,18.00%,55.80%,18.70%,2016
Matt Barnes,GSW,37,6/7,226,UCLA,USA,2002,2,45,74,527,384,195,-2,4.00%,17.60%,15.50%,51.40%,16.20%,2016
Matthew Dellavedova,MIL,26,6/4,198,St.Mary's College of California,Australia,Undrafted,Undrafted,Undrafted,76,577,147,357,-1.1,1.20%,6.30%,15.80%,50.10%,25.90%,2016
Maurice Harkless,POR,24,6/9,220,St. John's,USA,2012,1,15,77,773,341,88,2.2,5.70%,9.30%,14.90%,57.00%,5.60%,2016
Maurice Ndour,NYK,25,6/9,200,Ohio,Senegal,Undrafted,Undrafted,Undrafted,32,98,64,8,0.8,6.40%,13.10%,14.20%,50.30%,3.70%,2016
Metta World Peace,LAL,37,6/7,260,St. John's,USA,1999,1,16,25,57,20,11,-16.7,2.80%,9.80%,22.10%,38.00%,11.30%,2016
Meyers Leonard,POR,25,7/1,255,Illinois,USA,2012,1,11,74,401,237,71,-1.9,2.20%,17.10%,15.40%,50.70%,8.50%,2016
Michael Beasley,MIL,28,6/10,235,Kansas State,USA,2008,1,2,56,528,193,53,-1.9,4.50%,16.20%,24.30%,58.40%,9.60%,2016
Michael Carter-Williams,CHI,25,6/6,190,Syracuse,USA,2013,1,11,45,297,153,113,-1.1,2.60%,15.20%,20.30%,43.70%,20.30%,2016
Michael Gbinije,DET,25,6/7,200,Syracuse,USA,2016,2,49,9,4,3,2,-1.5,5.10%,3.30%,15.10%,18.40%,8.70%,2016
Michael Kidd-Gilchrist,CHA,23,6/7,232,Kentucky,USA,2012,1,2,81,743,565,114,0.9,6.40%,17.10%,14.40%,52.80%,7.40%,2016
Mike Conley,MEM,29,6/1,175,Ohio State,USA,2007,1,4,69,"1,415.00",241,433,3.4,1.40%,9.50%,25.60%,60.40%,32.90%,2016
Mike Dunleavy,ATL,36,6/9,230,Duke,USA,2002,1,3,53,275,115,50,-4.2,2.00%,10.90%,13.70%,57.30%,9.70%,2016
Mike Miller,DEN,37,6/8,218,Florida,USA,2000,1,5,20,28,38,22,-0.9,1.40%,24.30%,10.20%,58.60%,19.50%,2016
Mike Muscala,ATL,25,6/11,240,Bucknell,USA,2013,2,44,70,435,240,95,-2.9,5.90%,13.00%,14.50%,59.60%,12.10%,2016
Mike Scott,ATL,28,6/8,237,Virginia,USA,2012,2,43,18,45,37,17,-10.1,4.70%,14.30%,16.20%,36.00%,15.00%,2016
Mike Tobey,CHA,22,7/1,260,Virginia,USA,Undrafted,Undrafted,Undrafted,2,2,3,1,-32.7,8.00%,3.70%,9.80%,25.00%,9.10%,2016
Miles Plumlee,CHA,28,6/11,249,Duke,USA,2012,1,26,45,113,95,21,-7.2,8.20%,11.20%,12.80%,51.80%,6.50%,2016
Mindaugas Kuzminskas,NYK,27,6/9,215,None,Lithuania,Undrafted,Undrafted,Undrafted,68,425,126,69,0.2,4.40%,7.50%,18.60%,53.30%,10.20%,2016
Mirza Teletovic,MIL,31,6/9,245,None,Bosnia and He...,Undrafted,Undrafted,Undrafted,70,451,162,48,2.9,1.00%,13.20%,18.80%,51.50%,6.30%,2016
Monta Ellis,IND,31,6/3,185,None,USA,2005,2,40,74,630,204,236,-2,1.00%,9.20%,16.60%,51.40%,17.10%,2016
Montrezl Harrell,HOU,23,6/8,240,Louisville,USA,2015,2,32,58,527,219,64,5.3,7.50%,12.30%,17.00%,66.20%,9.70%,2016
Myles Turner,IND,21,6/11,243,Texas-Austin,USA,2015,1,11,81,"1,173.00",589,106,2.8,5.90%,17.20%,19.50%,58.50%,6.50%,2016
Nemanja Bjelica,MIN,29,6/10,225,None,Serbia,2010,2,35,65,403,244,79,0.5,4.70%,15.70%,15.90%,52.60%,10.20%,2016
Nene,HOU,34,6/11,250,None,Brazil,2002,1,7,67,609,282,65,8.4,7.40%,14.70%,19.10%,63.00%,8.80%,2016
Nerlens Noel,DAL,23,6/11,228,Kentucky,USA,2013,1,6,51,445,294,50,-3.3,9.00%,19.80%,17.10%,62.20%,7.80%,2016
Nick Collison,OKC,36,6/10,255,Kansas,USA,2003,1,12,20,33,31,12,-14.9,5.90%,16.80%,9.70%,62.20%,17.10%,2016
Nick Young,LAL,32,6/7,210,Southern California,USA,2007,1,16,60,791,138,58,-6.2,1.50%,7.40%,19.20%,58.80%,5.70%,2016
Nicolas Batum,CHA,28,6/8,200,None,France,2008,1,25,77,"1,164.00",481,456,1,1.70%,16.40%,21.50%,52.90%,27.30%,2016
Nicolas Brussino,DAL,24,6/8,215,None,Argentina,Undrafted,Undrafted,Undrafted,54,150,95,47,-9.9,4.80%,14.80%,14.80%,49.80%,14.40%,2016
Nicolas Laprovittola,SAS,27,6/4,180,None,Argentina,Undrafted,Undrafted,Undrafted,18,59,10,28,-11.5,0.60%,5.10%,17.90%,57.90%,30.10%,2016
Nik Stauskas,PHI,23,6/6,205,Michigan,Canada,2014,1,8,80,756,226,188,-4.2,0.90%,9.10%,16.10%,54.00%,12.90%,2016
Nikola Jokic,DEN,22,6/10,250,None,Serbia,2014,2,41,73,"1,221.00",718,359,6.5,10.60%,24.80%,23.10%,64.00%,26.60%,2016
Nikola Mirotic,CHI,26,6/10,238,None,Montenegro,2011,1,23,70,744,384,75,5.4,3.60%,18.60%,19.40%,54.60%,6.90%,2016
Nikola Vucevic,ORL,26,7/1,260,Southern California,Montenegro,2011,1,16,75,"1,096.00",779,208,-3.5,7.70%,27.20%,24.10%,49.80%,15.70%,2016
Noah Vonleh,POR,21,6/9,245,Indiana,USA,2014,1,9,74,327,387,31,-2.8,9.80%,19.90%,12.90%,52.50%,3.60%,2016
Norman Powell,TOR,24,6/4,215,UCLA,USA,2015,2,46,76,636,169,82,2.8,2.00%,10.70%,20.80%,55.20%,9.40%,2016
Norris Cole,OKC,28,6/2,175,Cleveland State,USA,2011,1,28,13,43,11,14,-5.8,0.00%,9.20%,21.50%,38.10%,17.70%,2016
Okaro White,MIA,24,6/8,204,Florida State,USA,Undrafted,Undrafted,Undrafted,35,98,82,21,7.5,5.30%,12.40%,10.60%,50.70%,6.10%,2016
Omer Asik,NOP,30,7/1,255,None,Turkey,2008,2,36,31,85,163,15,-5.8,9.20%,22.80%,8.60%,51.70%,4.40%,2016
Omri Casspi,MIN,29,6/9,225,None,Israel,2009,1,23,36,186,112,37,-6.8,4.20%,14.50%,13.80%,52.60%,8.70%,2016
Otto Porter Jr.,WAS,24,6/8,198,Georgetown,USA,2013,1,3,80,"1,075.00",514,121,3.2,4.50%,15.40%,14.70%,62.80%,6.60%,2016
P.J. Tucker,TOR,32,6/6,245,Texas-Austin,USA,2006,2,35,81,540,471,99,-1.5,5.00%,16.00%,11.10%,51.60%,6.30%,2016
Pascal Siakam,TOR,23,6/9,230,New Mexico State,Cameroon,2016,1,27,55,229,185,17,-2.1,7.70%,14.80%,12.90%,52.30%,2.80%,2016
Pat Connaughton,POR,24,6/5,210,Notre Dame,USA,2015,2,41,39,98,52,28,-4.1,3.20%,13.00%,12.70%,64.50%,13.70%,2016
Patricio Garino,ORL,24,6/6,203,George Washington,Argentina,Undrafted,Undrafted,Undrafted,5,0,7,0,-18.7,2.20%,13.00%,10.00%,0.00%,0.00%,2016
Patrick Beverley,HOU,28,6/1,185,Arkansas,USA,2009,2,42,67,639,393,281,8.4,4.40%,14.40%,14.00%,54.60%,18.40%,2016
Patrick McCaw,GSW,21,6/7,185,UNLV,USA,2016,2,38,71,282,100,77,-2,1.90%,6.90%,11.60%,54.00%,9.90%,2016
Patrick Patterson,TOR,28,6/9,235,Kentucky,USA,2010,1,14,65,445,293,76,10.4,4.00%,14.30%,12.30%,54.20%,6.60%,2016
Patty Mills,SAS,28,6/1,185,St.Mary's College of California,Australia,2009,2,55,80,759,141,280,11.2,1.40%,6.50%,18.40%,57.80%,23.60%,2016
Pau Gasol,SAS,36,7/1,250,None,Spain,2001,1,3,64,792,501,150,6.8,6.90%,24.50%,21.30%,57.80%,14.30%,2016
Paul George,IND,27,6/9,220,Fresno State,USA,2010,1,10,75,"1,775.00",492,251,3.1,2.30%,16.10%,28.70%,58.70%,15.70%,2016
Paul Millsap,ATL,32,6/8,246,Louisiana Tech,USA,2006,2,47,69,"1,246.00",533,252,2.7,4.70%,17.10%,24.10%,54.20%,17.20%,2016
Paul Pierce,LAC,39,6/7,235,Kansas,USA,1998,1,10,25,81,48,10,4.4,0.40%,15.40%,14.50%,53.50%,4.90%,2016
Paul Zipser,CHI,23,6/8,210,None,Germany,2016,2,48,44,240,125,36,1.7,1.70%,12.50%,14.30%,50.30%,6.20%,2016
Pierre Jackson,DAL,25,5/10,180,Baylor,USA,2013,2,42,9,35,9,19,31.8,1.10%,9.80%,22.20%,41.60%,32.20%,2016
Quincy Acy,BKN,26,6/7,240,Baylor,USA,2012,2,37,38,222,115,18,-4.1,3.40%,16.80%,16.50%,56.50%,5.30%,2016
Quinn Cook,NOP,24,6/2,179,Duke,USA,Undrafted,Undrafted,Undrafted,14,79,7,26,-11.3,0.60%,3.70%,19.20%,57.90%,19.80%,2016
RJ Hunter,CHI,23,6/5,185,Georgia State,USA,2015,1,28,3,0,1,0,-52.6,0.00%,7.70%,3.80%,0.00%,0.00%,2016
Rajon Rondo,CHI,31,6/1,186,Kentucky,USA,2006,1,21,69,538,355,461,-2.2,3.80%,15.10%,17.40%,46.10%,36.10%,2016
Rakeem Christmas,IND,25,6/9,250,Syracuse,USA,2015,2,36,29,59,56,4,-7.9,10.50%,13.90%,11.90%,52.90%,2.70%,2016
Ramon Sessions,CHA,31,6/3,190,Nevada-Reno,USA,2007,2,56,50,312,73,129,-5.5,1.30%,7.10%,19.20%,49.50%,24.00%,2016
Randy Foye,BKN,33,6/4,218,Villanova,USA,2006,1,7,69,357,155,135,-7.6,0.70%,10.80%,14.30%,50.60%,15.30%,2016
Rashad Vaughn,MIL,20,6/6,202,UNLV,USA,2015,1,17,41,142,49,23,-8.2,0.90%,10.20%,16.90%,44.90%,8.50%,2016
Raul Neto,UTA,25,6/1,179,None,Brazil,2013,2,47,40,100,30,34,12.3,1.20%,7.30%,14.00%,52.70%,14.00%,2016
Raymond Felton,LAC,33,6/1,205,North Carolina,USA,2005,1,5,80,538,218,191,-4.1,1.90%,10.60%,16.30%,49.60%,17.20%,2016
Reggie Bullock,DET,26,6/7,205,North Carolina,USA,2013,1,25,31,141,64,29,5,2.60%,11.00%,12.80%,53.80%,8.60%,2016
Reggie Jackson,DET,27,6/3,208,Boston College,USA,2011,1,24,52,752,114,270,-8,1.30%,7.20%,26.10%,51.00%,30.60%,2016
Reggie Williams,NOP,30,6/6,205,Virginia Military Institute,USA,Undrafted,Undrafted,Undrafted,6,27,6,4,-15.4,1.90%,5.60%,12.80%,51.80%,8.70%,2016
Richard Jefferson,CLE,37,6/7,233,Arizona,USA,2001,1,13,79,448,203,78,4,1.80%,10.30%,12.10%,57.40%,6.80%,2016
Richaun Holmes,PHI,23,6/10,245,Bowling Green,USA,2015,2,37,57,559,311,58,-7.2,7.90%,17.80%,18.40%,61.10%,8.10%,2016
Ricky Rubio,MIN,26,6/4,190,None,Spain,2009,1,5,75,836,305,682,-0.7,2.80%,10.00%,17.10%,53.90%,38.50%,2016
Robert Covington,PHI,26,6/9,215,Tennessee State,USA,Undrafted,Undrafted,Undrafted,67,864,436,102,-3,4.10%,15.80%,18.80%,53.40%,7.50%,2016
Robin Lopez,CHI,29,7/1,255,Stanford,USA,2008,1,15,81,839,520,80,1.4,10.20%,12.00%,17.20%,51.10%,5.40%,2016
Rodney Hood,UTA,24,6/8,206,Duke,USA,2014,1,23,59,748,202,96,4,1.10%,11.70%,22.70%,52.20%,10.20%,2016
Rodney McGruder,MIA,25,6/4,205,Kansas State,USA,Undrafted,Undrafted,Undrafted,78,497,256,124,0.3,4.70%,8.30%,12.30%,50.60%,8.80%,2016
Rodney Stuckey,IND,31,6/5,205,Eastern Washington,USA,2007,1,15,39,281,84,84,-2.8,0.90%,10.90%,21.80%,48.30%,18.40%,2016
Ron Baker,NYK,24,6/4,220,Wichita State,USA,Undrafted,Undrafted,Undrafted,52,215,98,107,-2.3,1.40%,10.00%,14.90%,45.60%,18.80%,2016
Rondae Hollis-Jefferson,BKN,22,6/7,214,Arizona,USA,2015,1,23,78,675,452,154,-5.5,5.30%,18.60%,18.50%,51.70%,13.50%,2016
Ronnie Price,PHX,34,6/2,190,Utah Valley,USA,Undrafted,Undrafted,Undrafted,14,14,11,18,-15.7,1.80%,5.90%,8.50%,27.20%,18.80%,2016
Roy Hibbert,DEN,30,7/2,270,Georgetown,USA,2008,1,17,48,221,152,21,-2,7.70%,12.70%,13.60%,61.40%,4.80%,2016
Rudy Gay,SAC,30,6/8,230,Connecticut,USA,2006,1,8,30,562,190,83,2.3,3.40%,15.60%,24.60%,55.90%,14.00%,2016
Rudy Gobert,UTA,25,7/1,245,None,France,2013,1,27,81,"1,137.00","1,035.00",97,8.3,12.40%,25.90%,16.60%,68.10%,5.70%,2016
Russell Westbrook,OKC,28,6/3,200,UCLA,USA,2008,1,4,81,"2,558.00",864,840,4.5,4.60%,25.10%,40.20%,55.40%,54.30%,2016
Ryan Anderson,HOU,29,6/10,240,California,USA,2008,1,21,72,979,330,68,8.9,5.20%,10.30%,17.80%,58.30%,4.60%,2016
Ryan Kelly,ATL,26,6/11,230,Duke,USA,2013,2,48,16,25,18,8,2.6,0.90%,14.40%,14.20%,40.80%,11.60%,2016
Salah Mejri,DAL,31,7/2,245,None,Tunisia,Undrafted,Undrafted,Undrafted,73,213,308,14,-0.5,10.90%,25.40%,10.50%,65.00%,2.50%,2016
Sam Dekker,HOU,23,6/9,230,Wisconsin,USA,2015,1,18,77,504,284,76,3.7,6.40%,12.60%,14.80%,54.90%,7.90%,2016
Sasha Vujacic,NYK,33,6/7,195,None,Slovenia,2004,1,27,42,124,59,52,0.4,2.70%,10.90%,16.80%,42.30%,18.90%,2016
Sean Kilpatrick,BKN,27,6/4,219,Cincinnati,USA,Undrafted,Undrafted,Undrafted,70,919,280,157,-6.3,1.20%,13.60%,23.20%,54.60%,14.70%,2016
Semaj Christon,OKC,24,6/3,190,Xavier,USA,2014,2,55,64,183,87,130,-6.3,1.90%,7.30%,12.30%,38.70%,19.30%,2016
Serge Ibaka,TOR,27,6/10,235,None,Republic of t...,2008,1,24,79,"1,173.00",538,75,-2.9,5.30%,16.90%,20.80%,56.60%,5.00%,2016
Sergio Rodriguez,PHI,31,6/3,176,None,Spain,2006,1,27,68,530,157,344,-5,1.30%,8.80%,18.90%,48.40%,34.90%,2016
Seth Curry,DAL,26,6/2,185,Duke,USA,Undrafted,Undrafted,Undrafted,70,898,179,189,-0.2,1.30%,8.40%,19.30%,60.10%,15.90%,2016
Shabazz Muhammad,MIN,24,6/6,223,UCLA,USA,2013,1,14,78,772,220,35,-1.6,5.50%,9.40%,20.90%,56.60%,3.80%,2016
Shabazz Napier,POR,25,6/1,175,Connecticut,USA,2014,1,24,53,218,61,67,2.4,1.70%,10.80%,21.50%,53.30%,20.00%,2016
Shaun Livingston,GSW,31,6/7,192,None,USA,2004,1,4,76,389,151,139,5.4,2.20%,8.40%,13.20%,56.80%,14.60%,2016
Shawn Long,PHI,24,6/9,255,Louisiana-Lafayette,USA,Undrafted,Undrafted,Undrafted,18,148,85,13,4.5,16.30%,18.60%,24.10%,59.50%,8.70%,2016
Sheldon Mac,WAS,24,6/6,200,Miami,USA,2016,,,30,90,34,15,-10.8,1.30%,10.30%,13.80%,51.80%,7.80%,2016
Shelvin Mack,UTA,27,6/3,203,Butler,USA,2011,2,34,55,430,125,154,0.3,1.80%,8.70%,19.10%,51.80%,21.00%,2016
Skal Labissiere,SAC,21,6/11,225,Kentucky,Haiti,2016,1,28,33,289,162,27,-2.8,8.60%,17.50%,20.90%,57.70%,7.10%,2016
Solomon Hill,NOP,26,6/7,225,Arizona,USA,2013,1,23,80,563,307,141,1,2.10%,10.10%,11.40%,52.70%,8.00%,2016
Spencer Dinwiddie,BKN,24,6/6,200,Colorado,USA,2014,2,38,59,432,164,185,-4.7,2.00%,9.70%,14.00%,58.10%,21.00%,2016
Spencer Hawes,MIL,29,7/1,245,Washington,USA,2007,1,10,54,337,191,81,-11.2,4.60%,18.70%,19.30%,56.20%,17.40%,2016
Stanley Johnson,DET,21,6/7,245,Arizona,USA,2015,1,8,77,339,189,105,0,2.50%,11.60%,14.40%,43.60%,10.60%,2016
