PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,Ano
Brandon Bass,BOS,29,6/8,250,Louisiana State,USA,2005,2,33,82,911,470,87,-7.8,7.10%,14.30%,18.40%,54.90%,6.50%,2013
Brandon Davies,PHI,22,6/10,240,Brigham Young,USA,Undrafted,Undrafted,Undrafted,51,144,109,28,-2.1,6.20%,12.70%,13.60%,47.60%,7.40%,2013
Brandon Jennings,DET,24,6/1,169,None,USA,2009,1,10,80,"1,241.00",244,609,-3.1,2.00%,6.90%,22.80%,48.60%,33.40%,2013
Brandon Knight,MIL,22,6/3,189,Kentucky,USA,2011,1,8,72,"1,291.00",255,352,-8.6,1.90%,9.20%,26.30%,52.30%,26.20%,2013
Brandon Rush,UTA,28,6/6,233,Kansas,USA,2008,1,13,38,79,44,24,-10.5,1.10%,9.50%,11.60%,42.80%,8.50%,2013
Brian Roberts,NOP,28,6/1,173,University of Dayton,USA,Undrafted,Undrafted,Undrafted,72,677,136,234,-4.3,1.10%,7.40%,19.80%,52.90%,22.60%,2013
Brook Lopez,BKN,26,7/1,275,Stanford,USA,2008,1,10,17,352,102,16,-2.2,7.80%,11.30%,26.50%,62.90%,5.90%,2013
Byron Mullens,PHI,25,7/1,275,Ohio State,USA,2009,1,24,45,189,92,14,-16.4,5.40%,17.20%,20.50%,54.40%,6.00%,2013
C.J. Watson,IND,30,6/2,175,Tennessee,USA,Undrafted,Undrafted,Undrafted,63,414,101,107,6.2,1.60%,6.50%,15.90%,55.50%,14.40%,2013
CJ McCollum,POR,22,6/4,200,Lehigh,USA,2013,1,10,38,201,48,27,-2.1,1.30%,8.10%,20.10%,52.10%,8.90%,2013
CJ Miles,CLE,27,6/6,231,None,USA,2005,2,34,51,503,103,52,1.9,1.70%,8.90%,21.30%,56.90%,8.80%,2013
Carl Landry,SAC,30,6/9,248,Purdue,USA,2007,2,31,18,76,57,5,-12.3,6.40%,17.70%,13.90%,56.30%,3.60%,2013
Carlos Boozer,CHI,32,6/9,266,Duke,USA,2002,2,34,76,"1,042.00",632,118,-1,6.30%,23.90%,25.70%,48.90%,10.50%,2013
Carmelo Anthony,NYK,30,6/8,235,Syracuse,USA,2003,1,3,77,"2,112.00",622,242,1.3,4.90%,17.10%,31.80%,56.10%,15.60%,2013
Caron Butler,OKC,34,6/7,228,Connecticut,USA,2002,1,10,56,587,229,82,-5.3,1.50%,14.90%,20.00%,51.20%,9.90%,2013
Carrick Felix,CLE,23,6/6,201,Arizona State,USA,2013,2,33,7,19,6,4,7.3,3.30%,12.80%,21.70%,60.30%,14.30%,2013
Cartier Martin,ATL,29,6/7,220,Kansas State,USA,Undrafted,Undrafted,Undrafted,59,329,110,33,-7,1.50%,11.50%,16.60%,56.20%,6.40%,2013
Casper Ware,PHI,24,5/10,175,Long Beach State,USA,Undrafted,Undrafted,Undrafted,9,48,9,10,-1.2,0.00%,7.70%,18.80%,53.80%,13.50%,2013
Chandler Parsons,HOU,25,6/9,227,Florida,USA,2011,2,38,74,"1,226.00",409,298,5.4,2.70%,11.70%,19.10%,56.50%,16.80%,2013
Channing Frye,PHX,31,6/11,245,Arizona,USA,2005,1,8,82,910,416,98,6.4,3.20%,14.90%,17.20%,55.50%,6.10%,2013
Charlie Villanueva,DET,29,6/11,232,Connecticut,USA,2005,1,7,20,92,34,6,-21.3,2.60%,16.30%,24.60%,46.90%,6.30%,2013
Chase Budinger,MIN,26,6/7,209,Arizona,USA,2009,2,44,41,274,103,31,0.1,2.40%,10.70%,17.00%,50.50%,6.30%,2013
Chauncey Billups,DET,37,6/3,210,Colorado,USA,1997,1,3,19,72,28,42,-7,1.20%,8.20%,15.20%,42.70%,19.60%,2013
